DISTRICT,DD3G,DD3S,COUNTY,CNTYNAME,DDALLS,D_RATING,DFLALTED,DFLCHART,DFLNEWDIST,DISTNAME,REGION,REGNNAME,DD2G,DD2S,DD2AG,DD2AS,DD2BG,DD2BS,DD1G,DD1S,DPE0312C,DPE0312P,DPETALLC,DPETECHC,DPETECHP,DPETECOC,DPETLEPC,DPETLEPP,DPETPTEC,DPETPTEP,DPETSPEC,DPETSPEP,DPETSTEC,DPETSTEP
001902,B,86.0,1,ANDERSON,87.0,B,N,N,N,CAYUGA ISD,7,REGION 07: KILGORE,B,87.0,C,78.0,B,87.0,B,87.0,446,75.2,593,0,0.0,295,8,1.3,0,0.0,83,14.0,0,0.0
001903,C,78.0,1,ANDERSON,83.0,B,N,N,N,ELKHART ISD,7,REGION 07: KILGORE,B,85.0,C,70.0,B,85.0,B,85.0,867,72.6,1194,0,0.0,704,35,2.9,0,0.0,163,13.7,0,0.0
001904,B,84.0,1,ANDERSON,88.0,B,N,N,N,FRANKSTON ISD,7,REGION 07: KILGORE,A,90.0,B,80.0,A,90.0,B,88.0,601,75.0,801,0,0.0,471,35,4.4,0,0.0,116,14.5,0,0.0
001906,B,82.0,1,ANDERSON,87.0,B,N,N,N,NECHES ISD,7,REGION 07: KILGORE,B,89.0,C,73.0,B,89.0,B,88.0,223,72.2,309,0,0.0,174,7,2.3,0,0.0,37,12.0,0,0.0
001907,D,63.0,1,ANDERSON,75.0,C,N,N,N,PALESTINE ISD,7,REGION 07: KILGORE,B,80.0,D,65.0,B,80.0,C,77.0,2388,72.5,3296,0,0.0,2649,576,17.5,0,0.0,490,14.9,0,0.0
001908,F,56.0,1,ANDERSON,69.0,D,N,N,N,WESTWOOD ISD,7,REGION 07: KILGORE,C,74.0,C,72.0,C,74.0,C,72.0,1051,74.3,1414,0,0.0,1053,106,7.5,0,0.0,223,15.8,0,0.0
001909,B,85.0,1,ANDERSON,86.0,B,N,N,N,SLOCUM ISD,7,REGION 07: KILGORE,B,86.0,C,79.0,B,86.0,B,86.0,252,72.2,349,0,0.0,179,5,1.4,0,0.0,57,16.3,0,0.0
002901,C,77.0,2,ANDREWS,78.0,C,N,N,N,ANDREWS ISD,18,REGION 18: MIDLAND,C,76.0,D,69.0,C,76.0,C,79.0,3072,73.4,4185,0,0.0,2071,662,15.8,0,0.0,536,12.8,0,0.0
003801,C,72.0,3,ANGELINA,80.0,B,N,Y,N,PINEYWOODS COMMUNITY ACADEMY,7,REGION 07: KILGORE,B,84.0,C,70.0,B,84.0,B,83.0,730,73.3,996,114,11.4,610,62,6.2,0,0.0,125,12.6,0,0.0
003902,B,86.0,3,ANGELINA,87.0,B,N,N,N,HUDSON ISD,7,REGION 07: KILGORE,B,87.0,C,75.0,B,87.0,B,85.0,2072,75.0,2763,0,0.0,1495,199,7.2,0,0.0,377,13.6,0,0.0
003903,C,75.0,3,ANGELINA,81.0,B,N,N,N,LUFKIN ISD,7,REGION 07: KILGORE,B,84.0,C,72.0,B,84.0,C,77.0,5205,73.1,7119,481,6.8,6226,1525,21.4,0,0.0,977,13.7,0,0.0
003904,D,66.0,3,ANGELINA,74.0,C,N,N,N,HUNTINGTON ISD,7,REGION 07: KILGORE,C,78.0,C,78.0,C,76.0,C,76.0,1237,77.7,1592,0,0.0,940,20,1.3,0,0.0,285,17.9,0,0.0
003905,C,77.0,3,ANGELINA,80.0,B,N,N,N,DIBOLL ISD,7,REGION 07: KILGORE,B,81.0,D,66.0,B,81.0,C,79.0,1221,73.2,1668,0,0.0,1135,252,15.1,0,0.0,214,12.8,0,0.0
003906,B,82.0,3,ANGELINA,83.0,B,N,N,N,ZAVALLA ISD,7,REGION 07: KILGORE,B,83.0,F,58.0,B,83.0,B,80.0,213,66.6,320,0,0.0,226,0,0.0,0,0.0,53,16.6,0,0.0
003907,C,75.0,3,ANGELINA,79.0,C,N,N,N,CENTRAL ISD,7,REGION 07: KILGORE,B,81.0,D,62.0,B,81.0,B,80.0,1046,71.6,1461,0,0.0,930,80,5.5,0,0.0,239,16.4,0,0.0
