CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETSTEC,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"001902001","CAYUGA H S","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","A","B","A","A",187,187,"S","09 - 12",40.6,"N","N","N","N","N"," ","N","N",62,91,97,98,100,100,74,80,94,,91,97,96,94,96,0,0,0,22,185,11.9,76,33,"09","12",2,1.1,17.6,0,0,0,100,"N","N","N","N"," "," ",,
"001902041","CAYUGA MIDDLE","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","C","B","B",138,138,"M","06 - 08",50.7,"N","N","N","N","N"," ","N","N",56,86,,,,,67,79,87,,64,85,86,87,86,0,,,20,176,11.4,70,20,"06","08",1,0.7,14.5,0,0,0,100,"N","N","N","N"," "," ",,
"001902103","CAYUGA EL","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","D","C","D","F","D","D",263,119,"E","PK - 05",56.7,"N","N","N","N","N"," ","N","N",43,72,,,,,49,56,69,,15,61,72,69,69,,,,20,210,9.5,149,31,"PK","05",6,2.3,11.8,0,0,0,45.2,"N","N","N","N"," "," ",,
"001903001","ELKHART H S","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","D","B","C",309,309,"S","09 - 12",49.8,"N","N","N","N","N"," ","N","N",59,89,74,77,100,100,66,67,84,,59,78,86,84,84,0,0,0,41,335,12.2,154,41,"09","12",8,2.6,13.3,0,0,0,100,"N","N","N","N"," "," ",,
"001903041","ELKHART MIDDLE","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","C","C","C","D","C","C",289,289,"M","06 - 08",57.8,"N","N","N","N","N"," ","N","N",45,76,,,,,57,64,79,,38,72,76,79,77,0,,,37,291,12.7,167,31,"06","08",7,2.4,10.7,0,0,0,100,"N","N","N","N"," "," ",,
"001903101","ELKHART EL","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",337,0,"E","EE - 02",64.1,"N","N","N","N","N","001903102","N","Y",,,,,,,,,,,,,,,80,,,,18,191,9.4,216,51,"EE","02",15,4.5,15.1,0,0,0,0,"N","N","N","N","ELKHART INT"," ",,
"001903102","ELKHART INT","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","C","C","C","C","B",261,261,"E","03 - 05",61.7,"N","N","N","N","N"," ","Y","N",48,76,,,,,69,78,79,,62,81,76,79,80,0,0,0,34,301,11.3,161,34,"03","05",14,5.4,13,0,0,0,100,"N","N","N","N"," "," ",,
"001904001","FRANKSTON H S","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","A","B","A","B",252,252,"S","09 - 12",43.3,"N","N","N","N","N"," ","N","N",57,86,98,98,98.1,90,75,81,92,,67,84,92,92,90,,,0,30,261,11.5,109,39,"09","12",14,5.6,15.5,0,0,0,100,"N","N","N","N"," "," ",,
"001904041","FRANKSTON MIDDLE","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","A",173,173,"M","06 - 08",50.3,"N","N","N","N","N"," ","N","N",54,85,,,,,72,83,85,,79,93,85,85,87,,,,17,197,8.6,87,36,"06","08",6,3.5,20.8,0,0,0,100,"N","N","N","N"," "," ",,
"001904102","FRANKSTON EL","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","C","B","C","B","C",377,185,"E","EE - 05",59.4,"N","N","N","N","N"," ","N","N",51,78,,,,,69,78,81,,50,76,78,81,80,,,,34,299,11.4,224,55,"EE","05",13,3.4,14.6,0,0,0,49.1,"N","N","N","N"," "," ",,
