CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART,CAMPNAME_CLEAN
001902001,CAYUGA H S,1902,CAYUGA ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Cayuga High School
001902041,CAYUGA MIDDLE,1902,CAYUGA ISD,7,REGION 07: KILGORE,1,ANDERSON,M,06 - 08, , ,N,N,Cayuga Middle School
001902103,CAYUGA EL,1902,CAYUGA ISD,7,REGION 07: KILGORE,1,ANDERSON,E,PK - 05, , ,N,N,Cayuga Elementary School
001903001,ELKHART H S,1903,ELKHART ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Elkhart High School
001903041,ELKHART MIDDLE,1903,ELKHART ISD,7,REGION 07: KILGORE,1,ANDERSON,M,06 - 08, , ,N,N,Elkhart Middle School
001903101,ELKHART EL,1903,ELKHART ISD,7,REGION 07: KILGORE,1,ANDERSON,E,EE - 02,'001903102,ELKHART INT,N,N,Elkhart Elementary School
001903102,ELKHART INT,1903,ELKHART ISD,7,REGION 07: KILGORE,1,ANDERSON,E,03 - 05, , ,N,N,Elkhart Intermediate School
001904001,FRANKSTON H S,1904,FRANKSTON ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Frankston High School
001904041,FRANKSTON MIDDLE,1904,FRANKSTON ISD,7,REGION 07: KILGORE,1,ANDERSON,M,06 - 08, , ,N,N,Frankston Middle School
001904102,FRANKSTON EL,1904,FRANKSTON ISD,7,REGION 07: KILGORE,1,ANDERSON,E,EE - 05, , ,N,N,Frankston Elementary School
001906002,NECHES H S,1906,NECHES ISD,7,REGION 07: KILGORE,1,ANDERSON,S,07 - 12, , ,N,N,Neches High School
001906102,NECHES EL,1906,NECHES ISD,7,REGION 07: KILGORE,1,ANDERSON,E,PK - 06, , ,N,N,Neches Elementary School
001907001,PALESTINE H S,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Palestine High School
001907041,PALESTINE J H,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,M,07 - 08, , ,N,N,Palestine Junior High
001907101,NORTHSIDE PRI,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,E,KG - 01,'001907107,SOUTHSIDE EL,N,N,Northside Primary School
001907102,WASHINGTON EARLY CHILDHOOD CENTER,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,E,EE - PK,'001907107,SOUTHSIDE EL,N,N,Washington Early Childhood Center
001907107,SOUTHSIDE EL,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,E,02 - 03, , ,N,N,Southside Elementary School
001907110,STORY INT,1907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,E,04 - 06, , ,N,N,Story Intermediate School
001908002,WESTWOOD H S,1908,WESTWOOD ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Westwood High School
001908041,WESTWOOD J H,1908,WESTWOOD ISD,7,REGION 07: KILGORE,1,ANDERSON,M,07 - 08, , ,N,N,Westwood Junior High
001908101,WESTWOOD EL,1908,WESTWOOD ISD,7,REGION 07: KILGORE,1,ANDERSON,E,03 - 06, , ,N,N,Westwood Elementary School
001908102,WESTWOOD PRI,1908,WESTWOOD ISD,7,REGION 07: KILGORE,1,ANDERSON,E,EE - 02,'001908101,WESTWOOD EL,N,N,Westwood Primary School
001909001,SLOCUM H S,1909,SLOCUM ISD,7,REGION 07: KILGORE,1,ANDERSON,S,09 - 12, , ,N,N,Slocum High School
001909101,SLOCUM PK - 8,1909,SLOCUM ISD,7,REGION 07: KILGORE,1,ANDERSON,E,EE - 08, , ,N,N,Slocum PK-8
002901001,ANDREWS H S,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,S,09 - 12, , ,N,N,Andrews High School
002901002,ANDREWS EDUCATION CENTER,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,S,09 - 12, , ,Y,N,Andrews Education Center
002901041,ANDREWS MIDDLE,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,M,06 - 08, , ,N,N,Andrews Middle School
002901101,DEVONIAN EL,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,E,02 - 03, , ,N,N,Devonian Elementary School
002901104,UNDERWOOD EL,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,E,04 - 05, , ,N,N,Underwood Elementary School
002901105,CLEARFORK EL,2901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,E,EE - 01,'002901101,DEVONIAN EL,N,N,Clearfork Elementary School
003801001,PINEYWOODS COMMUNITY ACADEMY H S,3801,PINEYWOODS COMMUNITY ACADEMY,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,Y,Pineywoods Community Academy High School
003801042,DR TERRY ROBBINS MIDDLE,3801,PINEYWOODS COMMUNITY ACADEMY,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,Y,Dr Terry Robbins Middle School
003801103,SARAH STRINDEN EL,3801,PINEYWOODS COMMUNITY ACADEMY,7,REGION 07: KILGORE,3,ANGELINA,E,PK - 05, , ,N,Y,Sarah Strinden Elementary School
003902001,HUDSON H S,3902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,N,Hudson High School
003902004,STUBBLEFIELD LRN CTR,3902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,S,10 - 12, , ,Y,N,Stubblefield Learning Center
003902041,HUDSON MIDDLE,3902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,N,Hudson Middle School
003902101,W F PEAVY PRI,3902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 02,'003902102,W H BONNER EL,N,N,W F Peavy Primary School
003902102,W H BONNER EL,3902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,W H Bonner Elementary School
003903001,LUFKIN H S,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,N,N,Lufkin High School
003903004,STUBBLEFIELD LRN CTR,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,S,09 - 12, , ,Y,N,Stubblefield Learning Center
003903044,LUFKIN MIDDLE,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,M,06 - 08, , ,N,N,Lufkin Middle School
003903120,ANDERSON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Anderson Elementary School
003903121,BRANDON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Brandon Elementary School
003903122,BROOKHOLLOW EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Brookhollow Elementary School
003903123,COSTON EL,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,03 - 05, , ,N,N,Coston Elementary School
003903124,DUNBAR PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,KG - 02,'003903121,BRANDON EL,N,N,Dunbar Primary School
003903125,GARRETT PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,PK - PK,'003903000,LUFKIN ISD,N,N,Garrett Primary School
003903127,HERTY PRI,3903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,E,EE - 02,'003903123,COSTON EL,N,N,Herty Primary School
