DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETSTEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPETSTEP,DPE0312P,DD2S,DDALLS
"001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","C","B","B",86,73,85,84,9,295,588,84,0,0,0,444,1.5,14.3,0,0,0,75.5,85,85
"001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","D","B","C",80,69,81,77,44,698,1196,157,0,0,0,859,3.7,13.1,0,0,0,71.8,81,80
"001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",86,81,87,84,33,420,802,130,0,0,0,610,4.1,16.2,0,0,0,76.1,87,86
"001906","NECHES ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",85,80,81,87,7,160,326,46,0,0,0,246,2.1,14.1,0,0,0,75.5,81,86
"001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","B","C","B","C","B","B",78,77,83,84,579,2648,3244,517,0,0,137,2345,17.8,15.9,0,4.2,0,72.3,83,83
"001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","C","D","C","D","C","C",68,60,70,73,96,1089,1365,229,0,0,0,981,7,16.8,0,0,0,71.9,70,71
"001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","C","B",83,81,76,83,8,128,332,56,0,0,0,236,2.4,16.9,0,0,0,71.1,81,83
"002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","B","C","C","D","C","B",79,68,76,85,764,2109,4256,581,0,0,0,3183,18,13.7,0,0,0,74.8,76,81
"003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","B","B","B",79,83,80,83,76,607,1022,135,0,124,11,753,7.4,13.2,12.1,1.1,0,73.7,83,83
"003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","C","B","B",84,75,85,87,226,1487,2740,419,0,0,0,2053,8.2,15.3,0,0,0,74.9,85,86
"003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","D","B","C",74,67,80,71,1579,6097,7035,982,0,484,0,5126,22.4,14,6.9,0,0,72.9,80,77
"003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","C","C","C","B",81,78,79,82,19,914,1587,291,0,0,0,1219,1.2,18.3,0,0,0,76.8,79,81
"003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","C","C","C",77,73,78,74,227,1137,1622,223,0,0,11,1172,14,13.7,0,0.7,0,72.3,78,77
"003906","ZAVALLA ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","F","C","F",74,55,76,59,0,226,320,70,0,0,0,219,0,21.9,0,0,0,68.4,76,71
"003907","CENTRAL ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","F","C","D",76,59,73,66,77,935,1524,279,0,0,0,1103,5.1,18.3,0,0,0,72.4,73,73
"004901","ROCKPORT-FULTON ISD","004","ARANSAS","02","REGION 02: CORPUS CHRISTI","C","C","C","C","C","C",71,72,70,70,180,1808,2968,449,0,0,0,2212,6.1,15.1,0,0,0,74.5,72,71
"005901","ARCHER CITY ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","A","A","A","C","A","A",91,73,90,90,7,249,497,72,0,0,0,365,1.4,14.5,0,0,0,73.4,90,91
"005902","HOLLIDAY ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","B","B","C","C","D","B",87,74,69,83,11,237,1127,155,0,0,364,888,1,13.8,0,32.3,0,78.8,74,86
"005904","WINDTHORST ISD","005","ARCHER","09","REGION 09: WICHITA FALLS","B","A","B","B","B","B",91,83,88,84,34,220,516,50,0,0,18,373,6.6,9.7,0,3.5,0,72.3,88,89
"006902","CLAUDE ISD","006","ARMSTRONG","16","REGION 16: AMARILLO","A","A","B","C","B","A",92,77,85,92,4,82,316,37,0,0,0,234,1.3,11.7,0,0,0,74.1,85,92
"007901","CHARLOTTE ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","D","D","D","D","D","C",66,69,63,70,39,280,442,71,0,0,0,331,8.8,16.1,0,0,0,74.9,69,69
"007902","JOURDANTON ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","C","C","D","C","D",75,63,72,69,62,861,1584,261,0,0,0,1192,3.9,16.5,0,0,0,75.3,72,73
"007904","LYTLE ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","D","D","D","D","D","D",61,62,62,63,310,1353,1814,229,0,0,108,1329,17.1,12.6,0,6,0,73.3,62,62
"007905","PLEASANTON ISD","007","ATASCOSA","20","REGION 20: SAN ANTONIO","C","C","C","D","C","C",72,60,72,74,224,2222,3353,518,0,0,0,2440,6.7,15.4,0,0,0,72.8,72,73
