DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,DFLCHART,DFLALTED,DISTNAME_CLEAN
001902,CAYUGA ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Cayuga ISD
001903,ELKHART ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Elkhart ISD
001904,FRANKSTON ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Frankston ISD
001906,NECHES ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Neches ISD
001907,PALESTINE ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Palestine ISD
001908,WESTWOOD ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Westwood ISD
001909,SLOCUM ISD,7,REGION 07: KILGORE,1,ANDERSON,N,N,Slocum ISD
002901,ANDREWS ISD,18,REGION 18: MIDLAND,2,ANDREWS,N,N,Andrews ISD
003801,PINEYWOODS COMMUNITY ACADEMY,7,REGION 07: KILGORE,3,ANGELINA,Y,N,Pineywoods Community Academy
003902,HUDSON ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Hudson ISD
003903,LUFKIN ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Lufkin ISD
003904,HUNTINGTON ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Huntington ISD
003905,DIBOLL ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Diboll ISD
003906,ZAVALLA ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Zavalla ISD
003907,CENTRAL ISD,7,REGION 07: KILGORE,3,ANGELINA,N,N,Central ISD
004901,ROCKPORT-FULTON ISD,2,REGION 02: CORPUS CHRISTI,4,ARANSAS,N,N,Rockport-Fulton ISD
005901,ARCHER CITY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,N,N,Archer City ISD
005902,HOLLIDAY ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,N,N,Holliday ISD
005904,WINDTHORST ISD,9,REGION 09: WICHITA FALLS,5,ARCHER,N,N,Windthorst ISD
006902,CLAUDE ISD,16,REGION 16: AMARILLO,6,ARMSTRONG,N,N,Claude ISD
007901,CHARLOTTE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,N,N,Charlotte ISD
007902,JOURDANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,N,N,Jourdanton ISD
007904,LYTLE ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,N,N,Lytle ISD
007905,PLEASANTON ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,N,N,Pleasanton ISD
007906,POTEET ISD,20,REGION 20: SAN ANTONIO,7,ATASCOSA,N,N,Poteet ISD
008901,BELLVILLE ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,N,N,Bellville ISD
008902,SEALY ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,N,N,Sealy ISD
008903,BRAZOS ISD,6,REGION 06: HUNTSVILLE,8,AUSTIN,N,N,Brazos ISD
009901,MULESHOE ISD,17,REGION 17: LUBBOCK,9,BAILEY,N,N,Muleshoe ISD
010901,MEDINA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,N,N,Medina ISD
010902,BANDERA ISD,20,REGION 20: SAN ANTONIO,10,BANDERA,N,N,Bandera ISD
011901,BASTROP ISD,13,REGION 13: AUSTIN,11,BASTROP,N,N,Bastrop ISD
011902,ELGIN ISD,13,REGION 13: AUSTIN,11,BASTROP,N,N,Elgin ISD
011904,SMITHVILLE ISD,13,REGION 13: AUSTIN,11,BASTROP,N,N,Smithville ISD
011905,MCDADE ISD,13,REGION 13: AUSTIN,11,BASTROP,N,N,McDade ISD
012901,SEYMOUR ISD,9,REGION 09: WICHITA FALLS,12,BAYLOR,N,N,Seymour ISD
013801,ST MARY'S ACADEMY CHARTER SCHOOL,2,REGION 02: CORPUS CHRISTI,13,BEE,Y,N,St Mary's Academy Charter School
013901,BEEVILLE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,N,N,Beeville ISD
013902,PAWNEE ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,N,N,Pawnee ISD
013903,PETTUS ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,N,N,Pettus ISD
013905,SKIDMORE-TYNAN ISD,2,REGION 02: CORPUS CHRISTI,13,BEE,N,N,Skidmore-Tynan ISD
014801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),20,REGION 20: SAN ANTONIO,14,BELL,Y,Y,Richard Milburn Alter High School (Killeen)
014803,PRIORITY CHARTER SCHOOLS,12,REGION 12: WACO,14,BELL,Y,N,Priority Charter Schools
014804,ORENDA CHARTER SCHOOL,12,REGION 12: WACO,14,BELL,Y,N,Orenda Charter School
014901,ACADEMY ISD,12,REGION 12: WACO,14,BELL,N,N,Academy ISD
014902,BARTLETT ISD,13,REGION 13: AUSTIN,14,BELL,N,N,Bartlett ISD
014903,BELTON ISD,12,REGION 12: WACO,14,BELL,N,N,Belton ISD
014905,HOLLAND ISD,12,REGION 12: WACO,14,BELL,N,N,Holland ISD
014906,KILLEEN ISD,12,REGION 12: WACO,14,BELL,N,N,Killeen ISD
014907,ROGERS ISD,12,REGION 12: WACO,14,BELL,N,N,Rogers ISD
014908,SALADO ISD,12,REGION 12: WACO,14,BELL,N,N,Salado ISD
014909,TEMPLE ISD,12,REGION 12: WACO,14,BELL,N,N,Temple ISD
014910,TROY ISD,12,REGION 12: WACO,14,BELL,N,N,Troy ISD
015801,POR VIDA ACADEMY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,Y,Por Vida Academy
015802,GEORGE GERVIN ACADEMY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,George Gervin Academy
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,New Frontiers Public Schools Inc
015806,LEGACY TRADITIONAL SCHOOLS - TEXAS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Legacy Traditional Schools - Texas
015807,SOUTHWEST PREPARATORY SCHOOL,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Southwest Preparatory School
015808,INSPIRE ACADEMIES,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Inspire Academies
015809,BEXAR COUNTY ACADEMY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Bexar County Academy
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,Y,Positive Solutions Charter School
015815,HERITAGE ACADEMY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,Y,Heritage Academy
015822,JUBILEE ACADEMIES,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Jubilee Academies
015825,LIGHTHOUSE PUBLIC SCHOOLS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Lighthouse Public Schools
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,School Of Science And Technology
015828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Harmony Public Schools - South Texas
015830,SOMERSET ACADEMIES OF TEXAS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Somerset Academies Of Texas
015831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,School Of Science And Technology Discovery
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Henry Ford Academy Alameda School For Art + Design
015834,BASIS TEXAS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Basis Texas
015835,GREAT HEARTS TEXAS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Great Hearts Texas
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Eleanor Kolitz Hebrew Language Academy
015838,COMPASS ROSE PUBLIC SCHOOLS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Compass Rose Public Schools
015839,PROMESA ACADEMY CHARTER SCHOOL,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Promesa Academy Charter School
015840,SAN ANTONIO PREPARATORY SCHOOLS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,San Antonio Preparatory Schools
015841,THE GATHERING PLACE,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,The Gathering Place
015842,ROYAL PUBLIC SCHOOLS,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Royal Public Schools
015843,PRELUDE PREPARATORY CHARTER SCHOOL,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Prelude Preparatory Charter School
015844,ESSENCE PREPARATORY CHARTER SCHOOL,20,REGION 20: SAN ANTONIO,15,BEXAR,Y,N,Essence Preparatory Charter School
015901,ALAMO HEIGHTS ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Alamo Heights ISD
015904,HARLANDALE ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Harlandale ISD
015905,EDGEWOOD ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Edgewood ISD
015906,RANDOLPH FIELD ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Randolph Field ISD
015907,SAN ANTONIO ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,San Antonio ISD
015908,SOUTH SAN ANTONIO ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,South San Antonio ISD
015909,SOMERSET ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Somerset ISD
015910,NORTH EAST ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,North East ISD
015911,EAST CENTRAL ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,East Central ISD
015912,SOUTHWEST ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Southwest ISD
015913,LACKLAND ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Lackland ISD
015914,FT SAM HOUSTON ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Ft Sam Houston ISD
015915,NORTHSIDE ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Northside ISD
015916,JUDSON ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Judson ISD
015917,SOUTHSIDE ISD,20,REGION 20: SAN ANTONIO,15,BEXAR,N,N,Southside ISD
016901,JOHNSON CITY ISD,13,REGION 13: AUSTIN,16,BLANCO,N,N,Johnson City ISD
016902,BLANCO ISD,13,REGION 13: AUSTIN,16,BLANCO,N,N,Blanco ISD
017901,BORDEN COUNTY ISD,17,REGION 17: LUBBOCK,17,BORDEN,N,N,Borden County ISD
018901,CLIFTON ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Clifton ISD
018902,MERIDIAN ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Meridian ISD
018903,MORGAN ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Morgan ISD
018904,VALLEY MILLS ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Valley Mills ISD
018905,WALNUT SPRINGS ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Walnut Springs ISD
018906,IREDELL ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Iredell ISD
018907,KOPPERL ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Kopperl ISD
018908,CRANFILLS GAP ISD,12,REGION 12: WACO,18,BOSQUE,N,N,Cranfills Gap ISD
019901,DEKALB ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Dekalb ISD
019902,HOOKS ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Hooks ISD
019903,MAUD ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Maud ISD
019905,NEW BOSTON ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,New Boston ISD
019906,REDWATER ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Redwater ISD
019907,TEXARKANA ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Texarkana ISD
019908,LIBERTY-EYLAU ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Liberty-Eylau ISD
019909,SIMMS ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Simms ISD
019910,MALTA ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Malta ISD
019911,RED LICK ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Red Lick ISD
019912,PLEASANT GROVE ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Pleasant Grove ISD
019913,HUBBARD ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Hubbard ISD
019914,LEARY ISD,8,REGION 08: MT PLEASANT,19,BOWIE,N,N,Leary ISD
020901,ALVIN ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Alvin ISD
020902,ANGLETON ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Angleton ISD
020904,DANBURY ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Danbury ISD
020905,BRAZOSPORT ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Brazosport ISD
020906,SWEENY ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Sweeny ISD
020907,COLUMBIA-BRAZORIA ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Columbia-Brazoria ISD
020908,PEARLAND ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Pearland ISD
020910,DAMON ISD,4,REGION 04: HOUSTON,20,BRAZORIA,N,N,Damon ISD
021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,6,REGION 06: HUNTSVILLE,21,BRAZOS,Y,N,Brazos School For Inquiry & Creativity
021805,ARROW ACADEMY,6,REGION 06: HUNTSVILLE,21,BRAZOS,Y,N,Arrow Academy
021901,COLLEGE STATION ISD,6,REGION 06: HUNTSVILLE,21,BRAZOS,N,N,College Station ISD
021902,BRYAN ISD,6,REGION 06: HUNTSVILLE,21,BRAZOS,N,N,Bryan ISD
022004,TERLINGUA CSD,18,REGION 18: MIDLAND,22,BREWSTER,N,N,Terlingua CSD
022901,ALPINE ISD,18,REGION 18: MIDLAND,22,BREWSTER,N,N,Alpine ISD
022902,MARATHON ISD,18,REGION 18: MIDLAND,22,BREWSTER,N,N,Marathon ISD
022903,SAN VICENTE ISD,18,REGION 18: MIDLAND,22,BREWSTER,N,N,San Vicente ISD
023902,SILVERTON ISD,16,REGION 16: AMARILLO,23,BRISCOE,N,N,Silverton ISD
024901,BROOKS COUNTY ISD,1,REGION 01: EDINBURG,24,BROOKS,N,N,Brooks County ISD
025901,BANGS ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Bangs ISD
025902,BROWNWOOD ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Brownwood ISD
025904,BLANKET ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Blanket ISD
025905,MAY ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,May ISD
025906,ZEPHYR ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Zephyr ISD
025908,BROOKESMITH ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Brookesmith ISD
025909,EARLY ISD,15,REGION 15: SAN ANGELO,25,BROWN,N,N,Early ISD
026901,CALDWELL ISD,6,REGION 06: HUNTSVILLE,26,BURLESON,N,N,Caldwell ISD
026902,SOMERVILLE ISD,6,REGION 06: HUNTSVILLE,26,BURLESON,N,N,Somerville ISD
026903,SNOOK ISD,6,REGION 06: HUNTSVILLE,26,BURLESON,N,N,Snook ISD
027903,BURNET CISD,13,REGION 13: AUSTIN,27,BURNET,N,N,Burnet CISD
027904,MARBLE FALLS ISD,13,REGION 13: AUSTIN,27,BURNET,N,N,Marble Falls ISD
028902,LOCKHART ISD,13,REGION 13: AUSTIN,28,CALDWELL,N,N,Lockhart ISD
028903,LULING ISD,13,REGION 13: AUSTIN,28,CALDWELL,N,N,Luling ISD
028906,PRAIRIE LEA ISD,13,REGION 13: AUSTIN,28,CALDWELL,N,N,Prairie Lea ISD
029901,CALHOUN COUNTY ISD,3,REGION 03: VICTORIA,29,CALHOUN,N,N,Calhoun County ISD
030901,CROSS PLAINS ISD,14,REGION 14: ABILENE,30,CALLAHAN,N,N,Cross Plains ISD
030902,CLYDE CISD,14,REGION 14: ABILENE,30,CALLAHAN,N,N,Clyde CISD
030903,BAIRD ISD,14,REGION 14: ABILENE,30,CALLAHAN,N,N,Baird ISD
030906,EULA ISD,14,REGION 14: ABILENE,30,CALLAHAN,N,N,Eula ISD
031901,BROWNSVILLE ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Brownsville ISD
031903,HARLINGEN CISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Harlingen CISD
031905,LA FERIA ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,La Feria ISD
031906,LOS FRESNOS CISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Los Fresnos CISD
031909,POINT ISABEL ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Point Isabel ISD
031911,RIO HONDO ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Rio Hondo ISD
031912,SAN BENITO CISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,San Benito CISD
031913,SANTA MARIA ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Santa Maria ISD
031914,SANTA ROSA ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,Santa Rosa ISD
031916,SOUTH TEXAS ISD,1,REGION 01: EDINBURG,31,CAMERON,N,N,South Texas ISD
032902,PITTSBURG ISD,8,REGION 08: MT PLEASANT,32,CAMP,N,N,Pittsburg ISD
033901,GROOM ISD,16,REGION 16: AMARILLO,33,CARSON,N,N,Groom ISD
033902,PANHANDLE ISD,16,REGION 16: AMARILLO,33,CARSON,N,N,Panhandle ISD
033904,WHITE DEER ISD,16,REGION 16: AMARILLO,33,CARSON,N,N,White Deer ISD
034901,ATLANTA ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Atlanta ISD
034902,AVINGER ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Avinger ISD
034903,HUGHES SPRINGS ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Hughes Springs ISD
034905,LINDEN-KILDARE CISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Linden-Kildare CISD
034906,MCLEOD ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,McLeod ISD
034907,QUEEN CITY ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Queen City ISD
034909,BLOOMBURG ISD,8,REGION 08: MT PLEASANT,34,CASS,N,N,Bloomburg ISD
035901,DIMMITT ISD,16,REGION 16: AMARILLO,35,CASTRO,N,N,Dimmitt ISD
035902,HART ISD,16,REGION 16: AMARILLO,35,CASTRO,N,N,Hart ISD
035903,NAZARETH ISD,16,REGION 16: AMARILLO,35,CASTRO,N,N,Nazareth ISD
036901,ANAHUAC ISD,4,REGION 04: HOUSTON,36,CHAMBERS,N,N,Anahuac ISD
036902,BARBERS HILL ISD,4,REGION 04: HOUSTON,36,CHAMBERS,N,N,Barbers Hill ISD
036903,EAST CHAMBERS ISD,5,REGION 05: BEAUMONT,36,CHAMBERS,N,N,East Chambers ISD
037901,ALTO ISD,7,REGION 07: KILGORE,37,CHEROKEE,N,N,Alto ISD
037904,JACKSONVILLE ISD,7,REGION 07: KILGORE,37,CHEROKEE,N,N,Jacksonville ISD
037907,RUSK ISD,7,REGION 07: KILGORE,37,CHEROKEE,N,N,Rusk ISD
037908,NEW SUMMERFIELD ISD,7,REGION 07: KILGORE,37,CHEROKEE,N,N,New Summerfield ISD
037909,WELLS ISD,7,REGION 07: KILGORE,37,CHEROKEE,N,N,Wells ISD
038901,CHILDRESS ISD,16,REGION 16: AMARILLO,38,CHILDRESS,N,N,Childress ISD
039902,HENRIETTA ISD,9,REGION 09: WICHITA FALLS,39,CLAY,N,N,Henrietta ISD
039903,PETROLIA CISD,9,REGION 09: WICHITA FALLS,39,CLAY,N,N,Petrolia CISD
039904,BELLEVUE ISD,9,REGION 09: WICHITA FALLS,39,CLAY,N,N,Bellevue ISD
039905,MIDWAY ISD,9,REGION 09: WICHITA FALLS,39,CLAY,N,N,Midway ISD
040901,MORTON ISD,17,REGION 17: LUBBOCK,40,COCHRAN,N,N,Morton ISD
040902,WHITEFACE CISD,17,REGION 17: LUBBOCK,40,COCHRAN,N,N,Whiteface CISD
041901,BRONTE ISD,15,REGION 15: SAN ANGELO,41,COKE,N,N,Bronte ISD
041902,ROBERT LEE ISD,15,REGION 15: SAN ANGELO,41,COKE,N,N,Robert Lee ISD
042901,COLEMAN ISD,15,REGION 15: SAN ANGELO,42,COLEMAN,N,N,Coleman ISD
042903,SANTA ANNA ISD,15,REGION 15: SAN ANGELO,42,COLEMAN,N,N,Santa Anna ISD
042905,PANTHER CREEK CISD,15,REGION 15: SAN ANGELO,42,COLEMAN,N,N,Panther Creek CISD
043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,10,REGION 10: RICHARDSON,43,COLLIN,Y,N,Imagine International Academy Of North Texas
043802,LONE STAR LANGUAGE ACADEMY,10,REGION 10: RICHARDSON,43,COLLIN,Y,N,Lone Star Language Academy
043901,ALLEN ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Allen ISD
043902,ANNA ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Anna ISD
043903,CELINA ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Celina ISD
043904,FARMERSVILLE ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Farmersville ISD
043905,FRISCO ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Frisco ISD
043907,MCKINNEY ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,McKinney ISD
043908,MELISSA ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Melissa ISD
043910,PLANO ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Plano ISD
043911,PRINCETON ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Princeton ISD
043912,PROSPER ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Prosper ISD
043914,WYLIE ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Wylie ISD
043917,BLUE RIDGE ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Blue Ridge ISD
043918,COMMUNITY ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Community ISD
043919,LOVEJOY ISD,10,REGION 10: RICHARDSON,43,COLLIN,N,N,Lovejoy ISD
044902,WELLINGTON ISD,16,REGION 16: AMARILLO,44,COLLINGSWORTH,N,N,Wellington ISD
045902,COLUMBUS ISD,4,REGION 04: HOUSTON,45,COLORADO,N,N,Columbus ISD
045903,RICE CISD,3,REGION 03: VICTORIA,45,COLORADO,N,N,Rice CISD
045905,WEIMAR ISD,3,REGION 03: VICTORIA,45,COLORADO,N,N,Weimar ISD
046802,TRINITY CHARTER SCHOOL,20,REGION 20: SAN ANTONIO,46,COMAL,Y,Y,Trinity Charter School
046901,NEW BRAUNFELS ISD,20,REGION 20: SAN ANTONIO,46,COMAL,N,N,New Braunfels ISD
046902,COMAL ISD,20,REGION 20: SAN ANTONIO,46,COMAL,N,N,Comal ISD
047901,COMANCHE ISD,14,REGION 14: ABILENE,47,COMANCHE,N,N,Comanche ISD
047902,DE LEON ISD,14,REGION 14: ABILENE,47,COMANCHE,N,N,De Leon ISD
047903,GUSTINE ISD,14,REGION 14: ABILENE,47,COMANCHE,N,N,Gustine ISD
047905,SIDNEY ISD,14,REGION 14: ABILENE,47,COMANCHE,N,N,Sidney ISD
048901,EDEN CISD,15,REGION 15: SAN ANGELO,48,CONCHO,N,N,Eden CISD
048903,PAINT ROCK ISD,15,REGION 15: SAN ANGELO,48,CONCHO,N,N,Paint Rock ISD
049901,GAINESVILLE ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Gainesville ISD
049902,MUENSTER ISD,11,REGION 11: FORT WORTH,49,COOKE,N,N,Muenster ISD
