CAMPUS,CAMPNAME,DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,C_RATING,CD1G,CD2G,CD2AG,CD2BG,CD3G,CPETALLC,CPE0312C,GRDTYPE,GRDSPAN,CPETECOP,CFLDAEP,CFLJJ,CFLPAIRD,CFLALTED,CFLRTF,PAIRCAMP,CFLPAIRO,CFLPAIR,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD2A,CD2AS,CD2BS,CD2B,CD3,CD3S,CD1S,CD2S,CDALLS,CPETECHC,CPETPTEC,CPEMALLC,CPEMALLT,CPEMALLP,CPETECOC,CPETSPEC,GRDLOW,GRDHIGH,CPETLEPC,CPETLEPP,CPETSPEP,CPETECHP,CPETPTEP,CPE0312P,CFLCHART,CFLEEK,CFLNEWCAMP,CFLAEC,PAIRNAME,CFLAEATYPE,LAS_SCORE,LAS_WEIGHT
"001902001","CAYUGA H S","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","A","B","A","A",189,189,"S","09 - 12",41.3,"N","N","N","N","N"," ","N","N",62,91,97,98,100,100,77,83,94,,86,95,96,94,96,0,0,14,194,7.2,78,33,"09","12",1,0.5,17.5,0,0,100,"N","N","N","N"," "," ",,
"001902041","CAYUGA MIDDLE","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","A","B","A","A",124,124,"M","06 - 08",41.1,"N","N","N","N","N"," ","N","N",65,91,,,,,78,88,91,,76,92,91,91,91,0,0,18,151,11.9,51,12,"06","08",0,0,9.7,0,0,100,"N","N","N","N"," "," ",,
"001902103","CAYUGA EL","001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","B","C","B","B","C","C",262,125,"E","EE - 05",51.5,"N","N","N","N","N"," ","N","N",46,74,,,,,74,83,70,,52,77,74,83,81,0,0,31,222,14,135,34,"EE","05",4,1.5,13,0,0,47.7,"N","N","N","N"," "," ",,
"001903001","ELKHART H S","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","A","A","B","B","B","A",305,305,"S","09 - 12",44.9,"N","N","N","N","N"," ","N","N",62,91,84,86,100,100,79,85,88,,84,94,91,88,92,0,0,45,338,13.3,137,38,"09","12",1,0.3,12.5,0,0,100,"N","N","N","N"," "," ",,
"001903041","ELKHART MIDDLE","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",283,283,"M","06 - 08",48.1,"N","N","N","N","N"," ","N","N",54,85,,,,,70,82,85,,64,85,85,85,85,0,0,40,309,12.9,136,22,"06","08",9,3.2,7.8,0,0,100,"N","N","N","N"," "," ",,
"001903101","ELKHART EL","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","C","Not Rated","Not Rated","Not Rated","Not Rated","Not Rated",353,0,"E","EE - 02",62,"N","N","N","N","N","001903102","N","Y",,,,,,,,,,,,,,,76,0,0,16,181,8.8,219,62,"EE","02",18,5.1,17.6,0,0,0,"N","N","N","N","ELKHART INT"," ",,
"001903102","ELKHART INT","001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","C","C","C","C","C","C",246,246,"E","03 - 05",49.6,"N","N","N","N","N"," ","Y","N",48,76,,,,,66,74,72,,50,76,76,74,76,0,0,37,289,12.8,122,44,"03","05",12,4.9,17.9,0,0,100,"N","N","N","N"," "," ",,
"001904001","FRANKSTON H S","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","A","B","D","B","B",259,259,"S","09 - 12",40.9,"N","N","N","N","N"," ","N","N",55,83,98,98,98.1,90,66,67,89,,67,84,90,89,88,0,0,39,276,14.1,106,40,"09","12",7,2.7,15.4,0,0,100,"N","N","N","N"," "," ",,
"001904041","FRANKSTON MIDDLE","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",171,171,"M","06 - 08",50.9,"N","N","N","N","N"," ","N","N",56,86,,,,,69,81,87,,61,82,86,87,86,0,0,18,181,9.9,87,44,"06","08",5,2.9,25.7,0,0,100,"N","N","N","N"," "," ",,
"001904102","FRANKSTON EL","001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","A","B","A","A","B","B",381,165,"E","EE - 05",56.7,"N","N","N","N","N"," ","N","N",59,89,,,,,82,91,88,,70,87,89,91,90,0,0,40,318,12.6,216,60,"EE","05",10,2.6,15.7,0,0,43.3,"N","N","N","N"," "," ",,
