DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,REGNNAME,D_RATING,DD1G,DD2G,DD2AG,DD2BG,DD3G,DD1S,DD2AS,DD2BS,DD3S,DPETLEPC,DPETECOC,DPETALLC,DPETSPEC,DPETECHC,DPETPTEC,DPE0312C,DPETLEPP,DPETSPEP,DPETECHP,DPETPTEP,DPE0312P,DD2S,DDALLS
"001902","CAYUGA ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",88,84,86,89,5,264,575,79,0,0,438,0.9,13.7,0,0,76.2,86,88
"001903","ELKHART ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","B","B","B",85,81,82,86,40,614,1187,166,0,0,834,3.4,14,0,0,70.3,82,85
"001904","FRANKSTON ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","C","B","B",88,78,88,84,22,409,811,144,0,0,595,2.7,17.8,0,0,73.4,88,87
"001906","NECHES ISD","001","ANDERSON","07","REGION 07: KILGORE","A","B","B","B","B","A",88,87,86,93,8,165,337,56,0,0,249,2.4,16.6,0,0,73.9,87,90
"001907","PALESTINE ISD","001","ANDERSON","07","REGION 07: KILGORE","C","C","B","C","B","D",76,71,80,64,604,2568,3182,522,0,225,2361,19,16.4,0,7.1,74.2,80,75
"001908","WESTWOOD ISD","001","ANDERSON","07","REGION 07: KILGORE","D","D","D","F","D","D",67,59,67,61,88,1112,1387,267,0,0,1009,6.3,19.3,0,0,72.7,67,65
"001909","SLOCUM ISD","001","ANDERSON","07","REGION 07: KILGORE","B","B","B","C","B","B",82,79,80,81,7,151,323,66,0,0,225,2.2,20.4,0,0,69.7,80,82
"002901","ANDREWS ISD","002","ANDREWS","18","REGION 18: MIDLAND","C","C","C","D","C","C",79,65,76,77,797,2199,4201,620,0,0,3166,19,14.8,0,0,75.4,76,78
"003801","PINEYWOODS COMMUNITY ACADEMY","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","B","B","B",83,84,85,89,71,586,1061,165,124,21,793,6.7,15.6,11.7,2,74.7,85,86
"003902","HUDSON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","B","C","B","A",88,76,87,92,223,1404,2774,518,0,0,2094,8,18.7,0,0,75.5,87,89
"003903","LUFKIN ISD","003","ANGELINA","07","REGION 07: KILGORE","B","C","B","C","B","C",76,70,82,74,1514,5948,6850,1121,490,0,5064,22.1,16.4,7.2,0,73.9,82,80
"003904","HUNTINGTON ISD","003","ANGELINA","07","REGION 07: KILGORE","B","B","C","C","C","C",82,77,77,78,18,734,1560,353,0,0,1167,1.2,22.6,0,0,74.8,77,81
"003905","DIBOLL ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","B","D","B","C",78,63,80,76,191,1085,1575,245,0,18,1153,12.1,15.6,0,1.1,73.2,80,79
"003906","ZAVALLA ISD","003","ANGELINA","07","REGION 07: KILGORE","C","C","C","D","C","D",73,61,71,67,0,220,303,74,0,0,203,0,24.4,0,0,67,71,71
