DISTRICT,DA0GH13N,DA0GR13N,DA0GM13N,DB0GR13N,DH0GR13N,DW0GR13N,DI0GR13N,D30GR13N,D40GR13N,D20GR13N,DS0GR13N,DA0GR13R,DA0GH13R,DA0GM13R,DB0GR13R,DH0GR13R,DW0GR13R,DI0GR13R,D30GR13R,D40GR13R,D20GR13R,DS0GR13R,DPETGEEC,DPETGPKC,DPETGKNC,DPETG01C,DPETG02C,DPETG03C,DPETG04C,DPETG05C,DPETG06C,DPETG07C,DPETG08C,DPETG09C,DPETG10C,DPETG11C,DPETG12C,DPETALLC,DPETSPEC,DPETBILC,DPETVOCC,DPETGIFC,DPETLEPC,DPETECOC,DPETNEDC,DPETRSKC,DPETINDC,DPETASIC,DPETPCIC,DPETTWOC,DPETBLAC,DPETHISC,DPETWHIC,DAPID14D,DAPID14N,DAPID14R,DPETDISD,DPETDISC,DPETDISP,DPERRAKR,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERSAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DAUND13C,DAUND13D,DAUND13R,DPEMALLC,DPEMALLT,DPEMALLP,DPETWHIP,DPETBLAP,DPETHISP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETNEDP,DPETRSKP,DPETLEPP,DPETSPEP,DPETVOCP,DPETBILP,DPETGIFP,DPETGEEP,DPETGPKP,DPETGKNP,DPETG01P,DPETG02P,DPETG03P,DPETG04P,DPETG05P,DPETG06P,DPETG07P,DPETG08P,DPETG09P,DPETG10P,DPETG11P,DPETG12P,DPSTTOFC,DPSUTOFC,DPSSTOFC,DPSCTOFC,DPSETOFC,DPSTTOST,DPSUTOST,DPSSTOST,DPSCTOST,DPST00FC,DPST01FC,DPST06FC,DPST11FC,DPST20FC,DPST00ST,DPST01ST,DPST06ST,DPST11ST,DPST20ST,DPSTNOFC,DPSTBAFC,DPSTMSFC,DPSTPHFC,DPSPCOFC,DPSECOFC,DPSPTOFC,DPSXTOFC,DPSATOFC,DPSOTOFC,DPSTINFC,DPSTPIFC,DPSTASFC,DPSTBLFC,DPSTHIFC,DPSTWHFC,DPSTTWFC,DPSTMAFC,DPSTFEFC,DPSXCOFC,DPSTREFC,DPSTVOFC,DPSTBIFC,DPSTCOFC,DPSTGIFC,DPSTSPFC,DPSTOPFC,DPSTURNN,DPSTURND,DPSTURNR,DPSTTENA,DPSTEXPA,DPSAMIFC,DPCTSOCS,DPCTSOCC,DPCTSCIS,DPCTSCIC,DPCTMATS,DPCTMATC,DPCTG06S,DPCTG06C,DPCTG05S,DPCTG05C,DPCTG04S,DPCTG04C,DPCTG03S,DPCTG03C,DPCTG02S,DPCTG02C,DPCTG01S,DPCTG01C,DPCTGMES,DPCTGMEC,DPCTGKGS,DPCTGKGC,DPCTFLAS,DPCTFLAC,DPCTENGS,DPCTENGC,DPCTSOCA,DPCTSCIA,DPCTMATA,DPCTGMEA,DPCTGKGA,DPCTG06A,DPCTG05A,DPCTG04A,DPCTG03A,DPCTG02A,DPCTG01A,DPCTFLAA,DPCTENGA,DPSPTOFP,DPSTTOFP,DPSUTOFP,DPSSTOFP,DPSCTOFP,DPSETOFP,DPSXTOFP,DPSAMIFP,DPSTNOFP,DPSTBAFP,DPSTMSFP,DPSTPHFP,DPST00FP,DPST01FP,DPST06FP,DPST11FP,DPST20FP,DPSTREFP,DPSTVOFP,DPSTBIFP,DPSTCOFP,DPSTGIFP,DPSTSPFP,DPSTOPFP,DPSTBLFP,DPSTWHFP,DPSTHIFP,DPSTPIFP,DPSTINFP,DPSTASFP,DPSTTWFP,DPSTMAFP,DPSTFEFP,DPSTKIDR,DPST00SA,DPST01SA,DPST06SA,DPST11SA,DPST20SA,DPSTTOSA,DPSUTOSA,DPSSTOSA,DPSCTOSA,DPFEIERP,DPSAINHP
"001902",39,49,10,8,2,36,0,0,0,3,8,100,79.6,20.4,16.3,4.1,73.5,0,0,0,6.1,16.3,0,12,40,38,38,32,39,38,30,47,47,53,48,57,34,553,76,2,180,54,2,210,343,204,0,6,0,30,27,39,451,623,0,0,653,2,0.3,5.6,2.9,8.6,0,7.3,0,2.6,0,0,100,0,0,0,0,0,0,0,0,1,331,0.3,98,594,16.5,81.6,4.9,7.1,0,1.1,0,5.4,38,62,36.9,0.4,13.7,32.5,0.4,9.8,0,2.2,7.2,6.9,6.9,5.8,7.1,6.9,5.4,8.5,8.5,9.6,8.7,10.3,6.1,54.8899,6.637,3.0909,1.5,12.4998,2445804.0259,351971.3343,207237.3798,116163,2.9996,5.001,8.0006,22.9114,15.9773,92948.7963,168353.6214,302003.44,1070027.135,812471.0332,0,50.4132,4.4767,0,14.3861,26.8878,66.1178,30.6526,109.2702,1.9,0,0,0,2.0004,3.0004,49.8891,0,10.9097,43.9802,3,44.5537,3.6605,0.1268,0.5352,0.338,5.6757,0,12.8829,54.2205,23.7602014,7.6595744681,15.574468085,14.8886,261,25,265,19,259,18,25.8624,2.6434,31.7254,2.6568,33.7175,2.7166,32,3,37,3,38,3,21.8022,0.7042,40.028,2.169,111,12,313,24,10.4,13.9,14.4,31,18.5,9.8,11.9,12.4,10.7,12.3,12.7,9.3,13,60.508537552,50.23318343,6.0739341559,2.8286760709,1.3727438954,11.439349429,28.052113019,13.625489841,0,91.844219064,8.155780936,0,5.464757633,9.1109657697,14.575723403,41.740648097,29.107905097,81.16921328,6.6688042791,0.2310078903,0.9750427674,0.6157781304,10.340153653,0,3.6443863079,90.889398596,5.466215096,0,0,0,0,19.87560553,80.12439447,10.074713199,30987.063708,33663.991482,37747.59893,46702.826322,50851.585262,44558.361846,53031.691171,67047.584781,77442,58.9,77.4
"001903",58,80,22,5,7,64,0,1,0,3,5,100,72.5,27.5,6.3,8.8,80,0,1.3,0,3.8,6.3,2,71,82,67,70,82,81,105,108,92,87,106,92,87,75,1207,107,12,232,46,12,622,585,501,2,12,2,38,51,109,993,1352,0,0,1383,3,0.2,13.6,4.8,5.2,0,1.2,2.1,1.2,3.7,1,20,25,0,0,0,0,0,0,0,1,594,0.2,178,1189,15,82.3,4.2,9,0.2,1,0.2,3.1,51.5,48.5,41.5,1,8.9,19.2,1,3.8,0.2,5.9,6.8,5.6,5.8,6.8,6.7,8.7,8.9,7.6,7.2,8.8,7.6,7.2,6.2,98.7536,8.3745,5,2,13.8762,4150120.3524,416764.385,316685,183990,3.0002,17.4891,24.6372,30.001,23.6261,97885.944,567524.1942,950406.8495,1314447.87,1219855.4947,0,84.0868,14.6668,0,0,0,114.1281,43.0012,171.0055,0,0,0,0,1.0003,6.0007,91.7526,0,16.0005,82.7531,0.5087887927,79.0767,4.109,0,0.9854,2.3455,12.237,0,9.9293,96.5815,10.280747348,8.8558558559,13.144144144,16.1641,531,41,485,34,515,36,88.6658,5.1254,103.8,5,78.4,5,80.6,5,60.018,3.4296,50.4282,2.991,0,0,70.3068,3.4296,186,12,783,68,13,14.3,14.3,.,20.5,17.3,20.8,15.7,16.1,17.5,16.9,15.5,11.5,66.739432357,57.748785858,4.8972109084,2.9238825652,1.1695530261,8.1144758502,25.146091792,9.4523860344,0,85.148085741,14.851914259,0,3.0380664604,17.709835388,24.948153789,30.379651982,23.92429238,80.074751705,4.1608609711,0,0.9978370409,2.3751032874,12.391446995,0,1.0129250984,92.910638194,6.0764367071,0,0,0,0,16.202447303,83.797552697,12.222339236,32626.472902,32450.165772,38576.090201,43813.468551,51631.690999,42025.003163,49765.882739,63337,91995,60.2,66.8
"001904",45,50,5,8,4,34,0,0,0,4,6,100,90,10,16,8,68,0,0,0,8,12,1,34,55,50,58,60,54,49,53,58,67,62,59,44,58,762,74,15,219,40,15,445,317,323,3,2,0,27,93,66,571,841,0,0,859,5,0.6,4,0,0,0,4.3,0,0,1.6,3.5,50,0,0,0,0,0,0,0,0,8,380,2.1,137,752,18.2,74.9,12.2,8.7,0.4,0.3,0,3.5,58.4,41.6,42.4,2,9.7,28.7,2,5.2,0.1,4.5,7.2,6.6,7.6,7.9,7.1,6.4,7,7.6,8.8,8.1,7.7,5.8,7.6,57.1752,3.625,3.3095,3.8881,12.4679,2450837.2362,182969.5193,222915.475,275130.1608,2.0002,13.2224,8.6907,15.3347,17.9272,79850.2452,435688.8913,337291.638,716399.4869,881606.9748,0.1119,51.6893,5.374,0,0,0,67.9978,32.1365,112.6022,0,1.0002,0,0,0.9998,0.9999,54.1753,0,12.6894,44.4858,0,44.6037,7.7425,0,0.6873,0.1076,3.7362,0.2979,6.0001,55.8751,10.738414786,7.6823529412,13.505882353,9.4411,349,22,305,19,316,19,25.0146,1.5359,56.0299,3.1339,67.6765,3.8996,61.2901,3.0002,62.9001,2.9998,53.896,2.9998,0,0,47.6007,2.5053,141,8,347,23,15.9,16.1,16.6,.,19,16.3,17.9,17.4,20.4,21,18,17.6,15.1,60.387630082,50.776272577,3.2192976691,2.9391077617,3.4529520738,11.072519009,28.539850909,8.3844720618,0.1957142257,90.40510571,9.3991800641,0,3.4983699226,23.126110621,15.200121731,26.820544572,31.354853153,78.012320027,13.541710392,0,1.2020946144,0.1881934825,6.5346513873,0.521030097,1.7486602583,94.75314472,1.7488351593,0,1.7493598623,0,0,22.193888259,77.806111741,13.32745666,39921.130487,32950.81765,38810.64103,46717.541713,49177.05915,42865.389823,50474.350152,67356.239613,70762.110234,60.6,60.4
"001906",14,19,5,2,0,16,0,0,0,1,2,100,73.7,26.3,10.5,0,84.2,0,0,0,5.3,10.5,0,0,24,29,27,34,30,25,34,35,31,22,26,33,39,389,35,3,161,27,3,150,239,128,0,2,0,6,25,42,314,423,0,0,444,5,1.1,3.4,7.4,3.4,3.7,0,0,0,0,0,.,0,0,14.3,0,0,0,14.3,0,0,203,0,55,416,13.2,80.7,6.4,10.8,0,0.5,0,1.5,38.6,61.4,32.9,0.8,9,41.4,0.8,6.9,0,0,6.2,7.5,6.9,8.7,7.7,6.4,8.7,9,8,5.7,6.7,8.5,10,34.8464,1.75,2,0.4048,4.8449,1475749.8358,77887.75,133900,36336.872,2.9999,5.9998,8.0006,11.2509,6.5952,91190.7602,195721.3034,297305.6988,516524.5846,375007.4888,0,34.0014,0.845,0,0,0,39.0012,15.9358,59.7819,0,0,0,0,2,0,32.8464,0,8.5953,26.2511,2.1809876543,28.1858,2.7812,0,0.4706,0.5294,2.8794,0,6.9999,34.0002,20.587820072,5.9534883721,12.790697674,9.9358,162,16,147,12,165,16,20.7432,1.2384,20.9079,1.8439,24.7857,1.6878,29.4352,1.7611,27,2,29,2,9.647,1,23,2,64,5,209,22,10.1,12.3,10.3,9.6,11.5,16.8,11.3,14.7,16.7,13.5,14.5,12.8,9.5,65.239144289,58.289214629,2.9273074292,3.3454942048,0.677128027,8.1042924363,26.656563274,16.62008066,0,97.575072317,2.4249276826,0,8.6089237339,17.217847468,22.959617062,32.287122917,18.92648882,80.885830387,7.9813122733,0,1.3504981863,1.5192387162,8.2631204371,0,5.739473805,94.260526195,0,0,0,0,0,24.666249598,75.333750402,11.163276551,30397.933331,32621.30461,37160.425318,45909.623639,56860.669699,42350.137627,44507.285714,66950,89765,57.4,61.7
"001907",188,200,12,56,77,63,0,4,0,0,14,100,94,6,28,38.5,31.5,0,2,0,0,7,35,180,273,295,265,249,255,235,227,224,224,249,205,198,149,3263,255,403,799,114,443,2476,787,2053,44,24,1,73,914,1260,947,3669,7,0.2,3707,116,3.1,1.5,5.9,6.5,3.1,0.9,1.4,1.9,0,1.9,13.3,14.3,10.5,0,0,0,0,0,4.8,2,1520,0.1,567,3170,17.9,29,28,38.6,1.3,0.7,0,2.2,75.9,24.1,62.9,13.6,7.8,24.5,12.4,3.5,1.1,5.5,8.4,9,8.1,7.6,7.8,7.2,7,6.9,6.9,7.6,6.3,6.1,4.6,260.5733,32.7912,16.7024,8,71.4706,11188707.547,1620185.7058,1148133.763,726698,27.7548,79.8498,51.4799,51.6226,49.8662,899903.2839,2939988.4514,2121675.7771,2550083.1134,2677056.9212,0.9572,226.7246,32.8915,0,0,0,318.0669,94.9859,484.5234,0,1,0,0,20.7884,16.9999,217.7851,3.9999,61.6433,198.93,0,184.3389,15.9933,2.8804,21.2597,1,22.8851,12.2159,58.6982,252.7357,23.225132025,5.648801774,10.711463022,114.7202,1084,66,1113,58,1693,110,220.5629,12.6527,194.151,10.0023,205.7762,11.5164,211.4747,11.7623,222.6497,10.7956,231.3075,12.6775,1.7875,0.1375,272,16,576,29,1819,116,16.4,19.2,15.4,13,17,17.4,19.4,17.9,18,20.6,18.2,19.9,15.7,65.645312486,53.779301474,6.7677226735,3.447181292,1.6511070466,14.750701411,19.603986103,23.676916326,0.367343853,87.009912374,12.622743773,0,10.651436659,30.643891757,19.756398679,19.81116254,19.137110364,70.743587313,6.1377355239,1.1054087276,8.1588174997,0.3837691736,8.7825959145,4.6880858476,7.9779470882,83.579207847,6.5240375741,0,0.3837691736,0,1.5350383174,23.656798298,76.343201702,12.522388134,32423.338806,36818.983284,41213.673241,49398.579564,53684.798946,42938.810488,49409.161781,68740.645835,90837.25,58.6,69.9
"001908",73,89,16,22,16,46,1,2,0,2,12,100,82,18,24.7,18,51.7,1.1,2.2,0,2.2,13.5,9,52,127,120,127,126,135,115,127,121,119,122,124,107,71,1602,160,75,330,52,84,988,614,745,5,9,3,66,281,353,885,1754,5,0.3,1804,23,1.3,7.7,10.1,2.6,0.8,0,1.6,0,1.9,0,0,8.3,0,0,0,0,0,0,0,0,735,0,287,1614,17.8,55.2,17.5,22,0.3,0.6,0.2,4.1,61.7,38.3,46.5,5.2,10,20.6,4.7,3.2,0.6,3.2,7.9,7.5,7.9,7.9,8.4,7.2,7.9,7.6,7.4,7.6,7.7,6.7,4.4,123.4519,10,6.8075,3.5119,25.8871,4986958.0464,509230,435011,297129.3707,6.5032,41.7673,18.268,33.9136,22.9998,204860.7645,1381188.6307,710645.3891,1551126.6967,1139136.5654,0,108.1838,14.2676,1.0005,0,0,143.7713,4.4733,174.1317,0.2,1.0001,0,0,9.503,4.0004,106.9485,1.9999,29.4888,93.9631,0,94.1035,8.0797,0.3111,5.1319,2.0823,13.5812,0.1622,23.0006,123.2095,18.667878694,6.0821751938,11.311631395,23.3824,503,36,624,45,656,50,113.1801,5.5334,116.7585,6.8385,135.45,7.35,128.0808,7.7808,120.9013,6.8373,124.8446,6.3339,0,0,133.666,7.3333,300,22,729,52,14,13.9,13.1,.,18.2,20.5,17.1,18.4,16.5,17.7,19.7,13.6,14,82.564690978,70.8957071,5.7427797466,3.9093973125,2.0168068192,14.866391358,2.568917664,13.427997315,0,87.632349117,11.557213781,0.8104371014,5.2678006576,33.832853119,14.797666136,27.47110413,18.630575957,76.226854346,6.5448162402,0.2520009818,4.1570036589,1.6867298114,11.001207758,0.1313872042,7.6977349073,86.631716482,3.2404523543,0,0.8101130886,0,1.6199831675,23.886874159,76.113125841,12.976714008,31501.532246,33068.65971,38901.105162,45737.600747,49528.107436,40395.96026,50923,63901.726037,84606.444005,63.1,89.9
"001909",21,25,4,0,1,23,0,0,0,1,3,100,84,16,0,4,92,0,0,0,4,12,1,25,30,37,24,35,24,29,36,24,32,24,34,27,30,412,49,1,164,17,1,197,215,141,1,0,0,13,7,22,369,449,1,0.2,496,2,0.4,0,16.7,3.4,12.5,12,3.6,8.3,0,4.3,0,0,0,20,0,0,0,0,0,0,205,0,86,423,20.3,89.6,1.7,5.3,0.2,0,0,3.2,47.8,52.2,34.2,0.2,11.9,39.8,0.2,4.1,0.2,6.1,7.3,9,5.8,8.5,5.8,7,8.7,5.8,7.8,5.8,8.3,6.6,7.3,37.8723,1.8905,2,2,0,1726819.8758,85474.6905,132020,140735,0,5.5128,10.8593,13.0002,8.5,0,199024.6074,491018.872,614268.2274,422508.169,0,36.3722,1.5001,0,0,0,43.7628,13.8129,57.5757,0,0,0,0,0,0,37.8723,0,8.0349,29.8374,0,26.5405,3.8821,0,6.8269,0,0.6228,0,2.0003,37.2635,5.3679874408,9.9813817384,14.319317818,0,160,12,150,11,160,16,29.9492,2.096,26.6493,2.462,19.893,2.0172,32,2,23.2008,1.9334,34.7576,2.8732,0,0,51.0029,3.0002,67,6,197,21,13.3,13.6,10,.,17,14.3,10.8,9.9,16,12,12.1,11.2,9.4,76.009149693,65.778271041,3.2835032835,3.4736876842,3.4736876842,0,23.990850307,0,0,96.03905757,3.9609424302,0,0,14.556285201,28.673463191,34.326407427,22.443844182,70.078923118,10.250499706,0,18.026103511,0,1.6444736654,0,0,100,0,0,0,0,0,21.215769837,78.784230163,10.878663297,.,36102.272421,45216.438629,47250.675174,49706.843412,45595.854379,45212.742925,66010,70367.5,66.9,72.7
"002901",134,177,43,6,109,59,2,0,0,1,18,100,75.7,24.3,3.4,61.6,33.3,1.1,0,0,0.6,10.2,3,139,285,322,294,293,309,309,265,306,245,259,267,246,216,3758,248,502,629,119,443,1580,2178,1595,11,13,1,59,53,2493,1128,4076,1,0,3929,40,1,1.4,5.1,1.1,1.1,0,4.1,0.4,0,0.5,7.7,0,0,0,0,7.7,0,0,0,5,1545,0.3,525,3478,15.1,30,1.4,66.3,0.3,0.3,0,1.6,42,58,42.4,11.8,6.6,16.7,13.4,3.2,0.1,3.7,7.6,8.6,7.8,7.8,8.2,8.2,7.1,8.1,6.5,6.9,7.1,6.5,5.7,256.5151,25.3104,8.2858,7.8928,56,14342498.191,1708459.9956,712716.3825,830856.915,5.0017,56.0006,53.0005,84.855,57.6573,224672.205,2682764.8343,2807378.6666,4783064.7142,3844617.7713,0,204.5027,51.0121,1.0003,0,0,298.0041,126.9469,480.951,0,4.0002,0,2.0004,1.0001,51.8216,190.6935,6.9993,63.8208,192.6943,0,183.6591,8.9939,5.2909,29.3193,1.9064,15.3044,12.0411,30.2136,240.0888,12.584343793,8.2463235294,13.286764706,167.238,1528,91,1415,74,1511,86,191.8342,10.2152,364.7323,17.527,249.2136,11.5113,240.3922,14.0146,232.0506,13.9143,298.0781,14.5516,0,0,333.3313,14.5255,434,30,2684,170,16.8,19.1,17.6,.,22.9,18.8,20.8,21.6,17.2,16.7,20.5,14.5,15.8,61.961426424,53.334975912,5.2625735262,1.7227950456,1.6410819397,11.643597789,26.394975788,34.772357267,0,79.723454877,19.886587573,0.3899575503,1.9498657194,21.831307397,20.661746618,33.07992395,22.477156316,71.597773386,3.5061873551,2.0626076204,11.429853447,0.7431921162,5.9662764492,4.6941096255,0.3898795821,74.34006809,20.202163537,0,1.5594403604,0.7798371324,2.7286112981,24.879938842,75.120061158,14.650209676,44919.168483,47906.00162,52968.909097,56367.505912,66680.503098,55912.880729,67500.315902,86016.604613,105267.70158,63.3,65.6
"003801",18,20,2,0,2,18,0,0,0,0,2,100,90,10,0,10,90,0,0,0,0,10,0,32,69,55,58,59,62,63,61,60,40,40,41,39,22,701,46,21,39,22,21,344,357,250,1,16,1,10,122,107,444,729,1,0.1,663,0,0,4.3,7.8,0,3.8,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,205,0,54,570,9.5,63.3,17.4,15.3,0.1,2.3,0.1,1.4,49.1,50.9,35.7,3,6.6,5.6,3,3.1,0,4.6,9.8,7.8,8.3,8.4,8.8,9,8.7,8.6,5.7,5.7,5.8,5.6,3.1,44.7971,9,2,4,1.893,1942578.7428,453892,101083,313438,6.9995,14.001,14.9999,6.0001,2.7966,276764.602,579882.636,639079.6211,286433.1703,160418.7134,0,33.7966,11.0005,0,0,0,59.7971,23.0377,84.7278,0,0,0,1,3.9999,2.0004,37.7968,0,7.0003,37.7968,0,41.9235,0.1779,0,0,1.142,1.5537,0,7.0627,44.1888,15.983009269,2.9529198578,7.174268326,18.6901,297,21,404,27,288,23,61.0963,3.0002,63.0042,3.0002,60.6096,2.9305,76.121,4,50.3266,2.6031,53.2587,2.9999,0,0,67.196,4,294,22,376,28,14.1,15,12.5,.,16.8,20.4,21,20.7,19,19.3,17.8,13.4,13.4,70.575537191,52.871784703,10.622251492,2.3605003317,4.7210006633,2.2342135639,27.190249245,22.058993624,0,75.44372292,24.55627708,0,15.624895362,31.254255298,33.48408714,13.393947376,6.2428148251,93.585299048,0.397123921,0,0,2.5492721627,3.4683048679,0,8.9289262028,84.373318809,4.4654676307,0,0,2.2322873579,0,15.626681191,84.373318809,15.648334379,39540.624616,41417.229912,42605.592111,47738.066082,57362.051563,43363.939693,50432.444444,50541.5,78359.5,64,71
"003902",134,166,32,6,23,129,2,3,0,3,15,100,80.7,19.3,3.6,13.9,77.7,1.2,1.8,0,1.8,9,4,89,194,229,195,213,211,201,208,235,202,232,199,189,173,2774,172,182,675,163,190,1496,1278,1016,27,27,1,44,160,647,1868,3020,0,0,2966,57,1.9,1,5.3,3.3,2.7,0,0.5,0.9,0.6,1,15.4,20,7.1,7.7,0,0,4.8,0,0,0,1266,0,348,2624,13.3,67.3,5.8,23.3,1,1,0,1.6,53.9,46.1,36.6,6.8,6.2,24.3,6.6,5.9,0.1,3.2,7,8.3,7,7.7,7.6,7.2,7.5,8.5,7.3,8.4,7.2,6.8,6.2,185.2836,29.8952,12.0833,5,19.8612,8490687.1321,1535034.56,848932.2816,468427,10.1047,31.9993,41.0008,57.0008,45.178,395587.8292,1242103.262,1711176.6619,2688604.2049,2453215.1741,0.1048,147.2601,37.9187,0,0,0,232.2621,124.0616,376.1849,3,0,0,0,2.0002,3.9999,175.2836,3.9999,35.1043,150.1793,2.8340702599,127.88,11.5161,18.1709,4.786,11.9162,10.0307,0.9837,25.6555,182.5304,14.055466925,8.1659128111,13.523963419,57.811,1211,59,1116,56,1167,58,174.2672,8.521,168.7389,8.6661,128.5142,6.334,120.0059,5.8336,122.7804,6.1317,156.5447,7.3476,0,0,128.443,6.497,443,23,1345,62,20.5,19.9,20.1,.,19.8,20.5,19.5,20.3,20.6,20,21.3,19.3,21.7,61.741473408,49.253332603,7.9469431123,3.2120640674,1.3291336255,5.2796377526,32.978888839,15.367708805,0.0565619407,79.478216097,20.465221962,0,5.4536397177,17.270443795,22.128671939,30.764082736,24.383161812,69.018520797,6.2153908927,9.8070741285,2.5830672547,6.4313301339,5.4137009428,0.5309158501,1.0795342923,94.602868252,2.158798728,0,0,0,2.158798728,18.946253203,81.053746797,14.97164347,39148.894,38816.57605,41735.201799,47167.832818,54301.101733,45825.357086,51347.191522,70256.658496,93685.4,62,57.6
