CAMPUS,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CAMPNAME,CFLALTED,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
"001902001","0","0","0","1","0","0","0","CAYUGA H S","N","N","ANDERSON","001","M","CAYUGA ISD","001902","09 - 12","S"," "," ","07"
"001902041","0","0","0","0","0","1","0","CAYUGA MIDDLE","N","N","ANDERSON","001","M","CAYUGA ISD","001902","06 - 08","M"," "," ","07"
"001902103","0"," ","0","0","0","0"," ","CAYUGA EL","N","N","ANDERSON","001","M","CAYUGA ISD","001902","EE - 05","E"," "," ","07"
"001903001","1","0","0","0","1","1","1","ELKHART H S","N","N","ANDERSON","001","M","ELKHART ISD","001903","09 - 12","S"," "," ","07"
"001903002"," "," "," "," "," "," "," ","ELKHART DAEP","N","N","ANDERSON","001","X","ELKHART ISD","001903","08 - 08","M"," "," ","07"
"001903041","0","1","0","0","0","0","0","ELKHART MIDDLE","N","N","ANDERSON","001","M","ELKHART ISD","001903","06 - 08","M"," "," ","07"
"001903101"," "," "," "," "," "," "," ","ELKHART EL","N","N","ANDERSON","001","M","ELKHART ISD","001903","PK - 02","E","001903102","ELKHART INT","07"
"001903102","0"," ","1","1","0","0"," ","ELKHART INT","N","N","ANDERSON","001","M","ELKHART ISD","001903","03 - 05","E"," "," ","07"
"001904001","0","0","0","1","0","0","0","FRANKSTON H S","N","N","ANDERSON","001","M","FRANKSTON ISD","001904","09 - 12","S"," "," ","07"
"001904041","0","0","0","0","1","1","0","FRANKSTON MIDDLE","N","N","ANDERSON","001","M","FRANKSTON ISD","001904","06 - 08","M"," "," ","07"
"001904102","0"," ","0","1","1","0"," ","FRANKSTON EL","N","N","ANDERSON","001","M","FRANKSTON ISD","001904","EE - 05","E"," "," ","07"
"001906002","0","0","0","0","0","1","1","NECHES H S","N","N","ANDERSON","001","M","NECHES ISD","001906","09 - 12","S"," "," ","07"
"001906102","0","0","0","1","0","0"," ","NECHES EL","N","N","ANDERSON","001","M","NECHES ISD","001906","KG - 08","E"," "," ","07"
"001907001","1","1","0","1","1","1","0","PALESTINE H S","N","N","ANDERSON","001","M","PALESTINE ISD","001907","09 - 12","S"," "," ","07"
"001907041","0","0","0","0","0","0","0","PALESTINE J H","N","N","ANDERSON","001","M","PALESTINE ISD","001907","07 - 08","M"," "," ","07"
"001907101"," "," "," "," "," "," "," ","NORTHSIDE PRI","N","N","ANDERSON","001","M","PALESTINE ISD","001907","KG - 01","E","001907107","SOUTHSIDE EL","07"
"001907102"," "," "," "," "," "," "," ","WASHINGTON EARLY CHILDHOOD CENTER","N","N","ANDERSON","001","M","PALESTINE ISD","001907","EE - PK","E","001907107","SOUTHSIDE EL","07"
"001907107","0"," ","0","0","0"," "," ","SOUTHSIDE EL","N","N","ANDERSON","001","M","PALESTINE ISD","001907","02 - 03","E"," "," ","07"
"001907110","0"," ","0","0","0","0"," ","STORY INT","N","N","ANDERSON","001","M","PALESTINE ISD","001907","04 - 06","E"," "," ","07"
"001908002","0","0","0","1","0","1","0","WESTWOOD H S","N","N","ANDERSON","001","M","WESTWOOD ISD","001908","09 - 12","S"," "," ","07"
"001908041","0","0","0","1","0","0","0","WESTWOOD J H","N","N","ANDERSON","001","M","WESTWOOD ISD","001908","07 - 08","M"," "," ","07"
"001908101","0"," ","0","0","0","0"," ","WESTWOOD EL","N","N","ANDERSON","001","M","WESTWOOD ISD","001908","03 - 06","E"," "," ","07"
"001908102"," "," "," "," "," "," "," ","WESTWOOD PRI","N","N","ANDERSON","001","M","WESTWOOD ISD","001908","EE - 02","E","001908101","WESTWOOD EL","07"
"001909001","1","1","1","1","1","1","1","SLOCUM H S","N","N","ANDERSON","001","M","SLOCUM ISD","001909","06 - 12","B"," "," ","07"
"001909101","1"," ","0","0","0","1"," ","SLOCUM EL","N","N","ANDERSON","001","M","SLOCUM ISD","001909","EE - 05","E"," "," ","07"
"002901001","0","0","0","0","0","0","0","ANDREWS H S","N","N","ANDREWS","002","M","ANDREWS ISD","002901","09 - 12","S"," "," ","18"
"002901002"," "," "," "," "," "," "," ","ANDREWS EDUCATION CENTER","Y","N","ANDREWS","002","A","ANDREWS ISD","002901","09 - 12","S"," "," ","18"
"002901041","0","0","0","0","0","0","0","ANDREWS MIDDLE","N","N","ANDREWS","002","M","ANDREWS ISD","002901","06 - 08","M"," "," ","18"
"002901101","0"," ","0","1","0"," "," ","DEVONIAN EL","N","N","ANDREWS","002","M","ANDREWS ISD","002901","02 - 03","E"," "," ","18"
"002901104","0"," ","0","0","0","0"," ","UNDERWOOD EL","N","N","ANDREWS","002","M","ANDREWS ISD","002901","04 - 05","E"," "," ","18"
"002901105"," "," "," "," "," "," "," ","CLEARFORK EL","N","N","ANDREWS","002","M","ANDREWS ISD","002901","EE - 01","E","002901101","DEVONIAN EL","18"
"003801001","0","0","0","0","0","0","0","PINEYWOODS COMMUNITY ACADEMY H S","N","Y","ANGELINA","003","M","PINEYWOODS COMMUNITY ACADEMY","003801","07 - 12","S"," "," ","07"
"003801103","0"," ","0","0","0","1"," ","PINEYWOODS COMMUNITY ACADEMY EL","N","Y","ANGELINA","003","M","PINEYWOODS COMMUNITY ACADEMY","003801","PK - 06","E"," "," ","07"
"003902001","1","1","1","1","1","1","1","HUDSON H S","N","N","ANGELINA","003","M","HUDSON ISD","003902","09 - 12","S"," "," ","07"
"003902004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","A","HUDSON ISD","003902","09 - 12","S"," "," ","07"
"003902041","1","1","1","1","1","1","1","HUDSON MIDDLE","N","N","ANGELINA","003","M","HUDSON ISD","003902","06 - 08","M"," "," ","07"
"003902101"," "," "," "," "," "," "," ","W F PEAVY PRI","N","N","ANGELINA","003","M","HUDSON ISD","003902","EE - 02","E","003902102","W H BONNER EL","07"
"003902102","0"," ","0","0","0","0"," ","W H BONNER EL","N","N","ANGELINA","003","M","HUDSON ISD","003902","03 - 05","E"," "," ","07"
"003903001","1","1","0","1","1","1","1","LUFKIN H S","N","N","ANGELINA","003","M","LUFKIN ISD","003903","09 - 12","S"," "," ","07"
"003903004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","A","LUFKIN ISD","003903","10 - 12","S"," "," ","07"
"003903044","0","1","0","0","0","0","1","LUFKIN MIDDLE","N","N","ANGELINA","003","M","LUFKIN ISD","003903","06 - 08","M"," "," ","07"
"003903120","0"," ","0","0","0","0"," ","ANDERSON EL","N","N","ANGELINA","003","M","LUFKIN ISD","003903","03 - 05","E"," "," ","07"
"003903121","0"," ","1","1","1","1"," ","BRANDON EL","N","N","ANGELINA","003","M","LUFKIN ISD","003903","03 - 05","E"," "," ","07"
"003903122","0"," ","1","0","0","1"," ","BROOKHOLLOW EL","N","N","ANGELINA","003","M","LUFKIN ISD","003903","03 - 05","E"," "," ","07"
"003903123","0"," ","0","0","0","0"," ","COSTON EL","N","N","ANGELINA","003","I","LUFKIN ISD","003903","03 - 05","E"," "," ","07"
"003903124"," "," "," "," "," "," "," ","DUNBAR PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","KG - 02","E","003903121","BRANDON EL","07"
"003903125"," "," "," "," "," "," "," ","GARRETT PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","PK - KG","E","003903121","BRANDON EL","07"
"003903126"," "," "," "," "," "," "," ","HACKNEY PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","PK - PK","E","003903000","LUFKIN ISD","07"
"003903127"," "," "," "," "," "," "," ","HERTY PRI","N","N","ANGELINA","003","I","LUFKIN ISD","003903","EE - 02","E","003903123","COSTON EL","07"
"003903128"," "," "," "," "," "," "," ","KURTH PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","PK - 02","E","003903120","ANDERSON EL","07"
"003903129","0"," ","0","0","0","0"," ","SLACK EL","N","N","ANGELINA","003","M","LUFKIN ISD","003903","03 - 05","E"," "," ","07"
"003903130"," "," "," "," "," "," "," ","TROUT PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","PK - 02","E","003903122","BROOKHOLLOW EL","07"
"003903131"," "," "," "," "," "," "," ","BURLEY PRI","N","N","ANGELINA","003","M","LUFKIN ISD","003903","KG - 02","E","003903129","SLACK EL","07"
"003903141"," "," "," "," "," "," "," ","SPECIAL SERVICES","N","N","ANGELINA","003","Z","LUFKIN ISD","003903","EE - 09","B"," "," ","07"
"003903201"," "," "," "," "," "," "," ","JUVENILE DETENT CTR","N","N","ANGELINA","003","Z","LUFKIN ISD","003903","07 - 10","S"," "," ","07"
"003904001","0","0","0","1","0","0","1","HUNTINGTON H S","N","N","ANGELINA","003","M","HUNTINGTON ISD","003904","09 - 12","S"," "," ","07"
"003904005"," "," "," "," "," "," "," ","PRIDE ALTER SCH","Y","N","ANGELINA","003","A","HUNTINGTON ISD","003904","09 - 12","S"," "," ","07"
"003904041","0","0","0","0","0","0","0","HUNTINGTON MIDDLE","N","N","ANGELINA","003","M","HUNTINGTON ISD","003904","06 - 08","M"," "," ","07"
"003904101","0"," ","0"," ","0"," "," ","HUNTINGTON EL","N","N","ANGELINA","003","M","HUNTINGTON ISD","003904","EE - 03","E"," "," ","07"
"003904102","0"," ","0","1","0","0"," ","HUNTINGTON INT","N","N","ANGELINA","003","M","HUNTINGTON ISD","003904","04 - 05","E"," "," ","07"
"003905001","0","1","0","0","0","0","0","DIBOLL H S","N","N","ANGELINA","003","M","DIBOLL ISD","003905","09 - 12","S"," "," ","07"
"003905004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","Y","N","ANGELINA","003","Z","DIBOLL ISD","003905","11 - 12","S"," "," ","07"
"003905041","1","0","0","0","0","0","0","DIBOLL J H","N","N","ANGELINA","003","M","DIBOLL ISD","003905","07 - 08","M"," "," ","07"
"003905101","0"," ","0","0","0"," "," ","H G TEMPLE EL","N","N","ANGELINA","003","M","DIBOLL ISD","003905","KG - 03","E"," "," ","07"
"003905102"," "," "," "," "," "," "," ","DIBOLL PRI","N","N","ANGELINA","003","M","DIBOLL ISD","003905","EE - PK","E","003905101","H G TEMPLE EL","07"
"003905103","0"," ","0","0","0","0"," ","H G TEMPLE INT","N","N","ANGELINA","003","M","DIBOLL ISD","003905","04 - 06","E"," "," ","07"
"003906001","0","0","0","0","0","0","0","ZAVALLA H S","N","N","ANGELINA","003","M","ZAVALLA ISD","003906","06 - 12","B"," "," ","07"
"003906101","0"," ","1","0","1","0"," ","ZAVALLA EL","N","N","ANGELINA","003","M","ZAVALLA ISD","003906","PK - 05","E"," "," ","07"
"003907001","0","0","0","0","0","0","0","CENTRAL H S","N","N","ANGELINA","003","M","CENTRAL ISD","003907","09 - 12","S"," "," ","07"
"003907004"," "," "," "," "," "," "," ","STUBBLEFIELD LRN CTR","N","N","ANGELINA","003","Z","CENTRAL ISD","003907","09 - 12","S"," "," ","07"
