CAMPUS,DISTRICT,CAMPNAME,COUNTY,DISTNAME,REGION,CNTYNAME,GRDTYPE,GRDSPAN,CFLALTED,CFLCHART,PAIRCAMP,PAIRNAME,C_RATING,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST
"001902001","001902","CAYUGA H S","001","CAYUGA ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","1","0","0","0","0","0","0"
"001902041","001902","CAYUGA MIDDLE","001","CAYUGA ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","0","0","1","0","0","0","0"
"001902103","001902","CAYUGA EL","001","CAYUGA ISD","07","ANDERSON","E","EE - 05","N","N"," "," ","M","1","0","1","0","0"," ","1"
"001903001","001903","ELKHART H S","001","ELKHART ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","1","1","1","1","0","1"
"001903041","001903","ELKHART MIDDLE","001","ELKHART ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","0","1","0","0","1","1","0"
"001903101","001903","ELKHART EL","001","ELKHART ISD","07","ANDERSON","E","EE - 02","N","N","001903102","ELKHART INT","M"," "," "," "," "," "," "," "
"001903102","001903","ELKHART INT","001","ELKHART ISD","07","ANDERSON","E","03 - 05","N","N"," "," ","M","1","1","1","1","1"," ","1"
"001904001","001904","FRANKSTON H S","001","FRANKSTON ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","1","0","0","0","0","0","0"
"001904041","001904","FRANKSTON MIDDLE","001","FRANKSTON ISD","07","ANDERSON","M","06 - 08","N","N"," "," ","M","1","1","0","0","0","1","1"
"001904102","001904","FRANKSTON EL","001","FRANKSTON ISD","07","ANDERSON","E","EE - 05","N","N"," "," ","M","1","0","1","0","0"," ","0"
"001906002","001906","NECHES H S","001","NECHES ISD","07","ANDERSON","S","09 - 12","N","N"," "," ","M","0","0","0","0","1","0","0"
"001906040","001906","NECHES DAEP","001","NECHES ISD","07","ANDERSON","S","11 - 11","N","N"," "," ","X"," "," "," "," "," "," "," "
