Campus Number,Campus Name
1909101,SLOCUM PK - 8
14803002,GEORGETOWN CHARTER ACADEMY
14803004,CEDAR PARK CHARTER ACADEMY
14804005,GATEWAY TECH H S
14901101,ACADEMY INT
15806106,DR DAVID C WALKER EL
15822002,PREMIER LEADERSHIP ACADEMY
15834001,BASIS SAN ANTONIO MEDICAL CENTER
15834002,BASIS SAN ANTONIO NORTH CENTRAL
15904105,STONEWALL/FLANDERS EL
15907175,WOODLAWN ACADEMY
15915011,CHAVEZ EXCEL ACADEMY
31901001,HANNA EARLY COLLEGE H S
31901002,PORTER EARLY COLLEGE H S
31901003,PACE EARLY COLLEGE H S
31901004,RIVERA EARLY COLLEGE H S
31901007,LOPEZ EARLY COLLEGE H S
31901009,VETERANS MEMORIAL EARLY COLLEGE H
35902001,HART ISD
55901001,VAN HORN SCHOOL
57808102,UNIVERSAL ACADEMY - COPPELL
57828006,WINFREE ACADEMY CHARTER SCHOOL DAL
57906001,DESOTO H S & ISTEAM3D
57906041,DESOTO EAST MIDDLE (ISTEAM)
57906042,DESOTO WEST MIDDLE (ISTEAM)
57906043,CURTISTENE S MCCOWAN MIDDLE (ISTEA
57910053,YWLA AT BILL ARNOLD
57910134,BONHAM EES
57910135,SCHOOL FOR THE HIGHLY GIFTED
61802003,NORTH TEXAS COLLEGIATE ACADEMY-SOU
61802004,NORTH TEXAS COLLEGIATE ACADEMY-NOR
61802005,NORTH TEXAS COLLEGIATE ACADEMY-EAS
68901011,GEORGE H W BUSH NEW TECH ODESSA
68901042,BONHAM MIDDLE
68901043,BOWIE MIDDLE
68901044,CROCKETT MIDDLE
68901045,WILSON & YOUNG MEDAL OF HONOR MIDD
68901046,NIMITZ MIDDLE
68901047,ECTOR MIDDLE
70911041,RED OAK MIDDLE
71909006,JJAEP INSTRUCTIONAL
75902102,HERMES/INTERMEDIATE SCHOOL
84802001,ODYSSEY ACADEMY - GALVESTON
95905002,ASH H S
101813106,KIPP DREAM PREP
101859101,STEP CHARTER EL
101864041,THE LAWSON ACADEMY
101902012,DAVIS H S ALDINE
101912179,MCGOWEN EL
101912473,HILLIARD EL
107901103,CENTRAL ATHENS
108808101,VANGUARD REMBRANDT
108808103,VANGUARD PICASSO
108808104,VANGUARD MOZART
108904045,MEMORIAL MIDDLE
108907041,SGT MANUEL CHACON MIDDLE
108907108,SGT WILLIAM G HARRELL MIDDLE
108907109,JOHN F KENNEDY EL
114904101,FORSAN EL
117907101,SPRING CREEK SCHOOL
124901001,HEBBRONVILLE EARLY COLLEGE H S
126906001,KEENE H S
128902003,KENEDY JJAEP
129901002,CRANDALL COMPASS ACADEMY
152901193,ROBERTS EL
153903001,O'DONNELL SCHOOL
161807004,HARMONY SCHOOL OF INNOVATION - CAR
167902003,PECAN RIDGE H S
174904005,MALCOLM RECTOR TECHNICAL H S
174904102,EMELINE CARPENTER INT
194904002,CLARKSVILLE MIDDLE AND H S
199902003,HH BROWNING ACADEMY
220901137,COREY FINE ARTS / DUAL LANGUAGE AC
220902111,WEST BIRDVILLE EL
220905059,J MARTIN JACQUET MIDDLE
220905071,BENBROOK MIDDLE/HIGH SCHOOL
220907128,KELLER EARLY LEARNING CENTER - NOR
220908006,THE PHOENIX ACADEMY
220916005,KEYS H S
221801022,RESPONSIVE EDUCATION VIRTUAL LEARN
221801041,ISCHOOL HIGH OF HICKORY CREEK
221801049,FOUNDERS CLASSICAL ACADEMY OF DALL
227901025,GRADUATION PREP ACADEMY TRAVIS
227901026,GRADUATION PREP ACADEMY LANIER
227901064,GARCIA YMLA
227901131,READ PRE-K CENTER
231902001,RANKIN H S
243905125,WASHINGTON-JACKSON ACADEMY
254901101,DR TOMAS RIVERA EL
