Campus Number,TEA Campus Name,Campus Name
1906040,NECHES DAEP,Neches DAEP
3906004,STUBBLEFIELD LRN CTR,Stubblefield Learning Center
14901102,ACADEMY EL,Academy Elementary
14903006,BELL CO J J A E P,Bell Co J J A E P
14906013,KILLEEN ISD EARLY COLLEGE H S,Killeen ISD Early College High School
15808011,WILLIAMS HOUSE,Williams House
15808012,LEGACY RANCH,Legacy Ranch
15825001,LIGHTHOUSE CHARTER SCHOOL - B CAMP,Lighthouse Charter School - B Camp
15826043,KIPP PODER ACADEMY,Kipp Poder Academy
15828006,HARMONY SCHOOL OF EXCELLENCE - SAN,Harmony School Of Excellence - San Antonio
15835003,GREAT HEARTS NORTHERN OAKS,Great Hearts Northern Oaks
15835004,GREAT HEARTS IRVING,Great Hearts Irving
15837001,CARPE DIEM SCHOOLS,Carpe Diem Schools
15907177,YOUNG MEN'S LEADERSHIP ACADEMY,Young Men's Leadership Academy
15909007,SOMERSET ACADEMIC ACHIEVEMENT CENT,Somerset Academic Achievement Center
15915227,BOLDT EL,Boldt Elementary
19906002,NEW BOSTON DAEP,New Boston DAEP
20901047,MANVEL J H,Manvel Junior High
21901111,SPRING CREEK EL,Spring Creek Elementary
31901006,BROWNSVILLE LEARNING ACAD,Brownsville Learning Academy
31901127,LINCOLN PARK SCH,Lincoln Park School
31913006,SANTA MARIA JJAEP,Santa Maria JJAEP
31916042,RISING SCHOLARS ACADEMY OF SOUTH T,Rising Scholars Academy Of South Texas
36902006,HIGHPOINT,Highpoint
43904002,COLLIN CO J J A E P,Collin Co J J A E P
43905010,REEDY H S,Reedy High School
43905055,TRENT MIDDLE,Trent Middle
43905056,PEARSON MIDDLE,Pearson Middle
43905140,NORRIS EL,Norris Elementary
43911002,COLLIN CO J J A E P,Collin Co J J A E P
43911105,LETA HORN SMITH,Leta Horn Smith
43912105,LIGHT FARMS EL,Light Farms Elementary
45903004,RICE CHALLENGE ACADEMY,Rice Challenge Academy
47901103,COMANCHE EARLY CHILDHOOD CENTER,Comanche Early Childhood Center
48901003,FAIRVIEW ACCELERATED,Fairview Accelerated
48903191,VERIBEST PPCD,Veribest PPCD
57803004,UPLIFT WILLIAMS PREPARATORY H S,Uplift Williams Preparatory High School
57803005,UPLIFT LUNA PREPARATORY SECONDARY,Uplift Luna Preparatory Secondary
57803006,UPLIFT HEIGHTS PREPARATORY H S,Uplift Heights Preparatory High School
57803007,UPLIFT HAMPTON PREPARATORY H S,Uplift Hampton Preparatory High School
57803008,UPLIFT MIGHTY SCHOOL,Uplift Mighty School
57803009,UPLIFT SUMMIT INTERNATIONAL H S,Uplift Summit International High Schol
57803010,UPLIFT PEAK PREPARATORY H S,Uplift Peak Preparatory High Schol
57803044,UPLIFT HAMPTON PREPARATORY MIDDLE,Uplift Hampton Preparatory Middle
57803045,UPLIFT WILLIAMS PREPARATORY MIDDLE,Uplift Williams Preparatory Middle
57803046,UPLIFT HEIGHTS PREPARATORY MIDDLE,Uplift Heights Preparatory Middle
57803047,UPLIFT SUMMIT INTERNATIONAL MIDDLE,Uplift Summit International Middle
57803048,UPLIFT PEAK PREPARATORY MIDDLE,Uplift Peak Preparatory Middle
57803103,UPLIFT GRADUS PREPARATORY,Uplift Gradus Preparatory
57803104,UPLIFT HEIGHTS PREPARATORY PRI,Uplift Heights Preparatory Primary
57803105,UPLIFT PINNACLE PREPARATORY PRI,Uplift Pinnacle Preparatory Primary
57803106,UPLIFT TRIUMPH PREPARATORY SCHOOL,Uplift Triumph Preparatory School
57803107,UPLIFT LUNA PREPARATORY PRI,Uplift Luna Preparatory Primary
57803108,UPLIFT MERIDIAN SCHOOL,Uplift Meridian School
57803109,UPLIFT SUMMIT INTERNATIONAL PRI,Uplift Summit International Primary
57803110,UPLIFT PEAK PREPARATORY PRI,Uplift Peak Preparatory Primary
