Campus Number,TEA Campus Name,Campus Name
1909101,SLOCUM EL,Slocum Pk - 8
14803002,PRIORITY CHARTER SCHOOLS-HERITAGE,Georgetown Charter Academy
14803004,LEANDER CHARTER ACADEMY,Cedar Park Charter Academy
14804005,GATEWAY H S,Gateway Tech High School
14901101,ACADEMY EL,Academy Intermediate
15806106,DR DAVID C WALKER INT,Dr David C Walker Elementary School
15822002,ALPHA ACADEMY,Premier Leadership Academy
15834001,BASIS SAN ANTONIO,Basis San Antonio Medical Center
15834002,BASIS SAN ANTONIO NORTH,Basis San Antonio North Central
15904105,STONEWALL/FLANDERS ELEMENTARY,Stonewall/Flanders Elementary School
15907175,WOODLAWN EL,Woodlawn Academy
15915011,EXCEL ACADEMY,Chavez Excel Academy
31901001,HANNA H S,Hanna Early College High School
31901002,PORTER H S,Porter Early College High School
31901003,PACE H S,Pace Early College High School
31901004,RIVERA H S,Rivera Early College High School
31901007,LOPEZ H S,Lopez Early College High School
31901009,VETERANS MEMORIAL H S,Veterans Memorial Early College High School
35902001,HART JR-SR H S,Hart ISD
55901001,VAN HORN SECONDARY,Van Horn School
57808102,UNIVERSAL ACADEMY - FLOWER MOUND,Universal Academy - Coppell
57828006,WINFREE ACADEMY CHARTER SCHOOL DEN,Winfree Academy Charter School Dallas
57906001,DESOTO H S,DeSoto High School & iSTEAM3D
57906041,DESOTO EAST MIDDLE,DeSoto East Middle (iSTEAM)
57906042,DESOTO WEST MIDDLE,DeSoto West Middle (iSTEAM)
57906043,CURTISTENE S MCCOWAN MIDDLE,Curtistene S Mccowan Middle (iSTEAM)
57910053,YWLA AT BILL ARNOLD MIDDDLE,Young Women's Leadership Academy At Bill Arnold
57910134,BONHAM EEC,Bonham Early Education School
57910135,GIFTED AND TALENTED STUDENT ACADEM,School For The Highly Gifted
61802003,THE EDUCATION CENTER IN LEWISVILLE,North Texas Collegiate Academy-South
61802004,THE EDUCATION CENTER AT DENTON,North Texas Collegiate Academy-North
61802005,THE EDUCATION CENTER AT AUBREY,North Texas Collegiate Academy-East
68901011,NEW TECH ODESSA,George H W Bush New Tech Odessa
68901042,BONHAM J H,Bonham Middle School
68901043,BOWIE J H,Bowie Middle School
68901044,CROCKETT J H,Crockett Middle School
68901045,JOHN B HOOD,Wilson & Young Medal Of Honor Middle
68901046,NIMITZ J H,Nimitz Middle School
68901047,ECTOR J H,Ector Middle School
70911041,RED OAK J H,Red Oak Middle School
71909006,JJAEP,JJAEP Instructional
75902102,LA GRANGE INT,Hermes/Intermediate School
84802001,ODYSSEY ACADEMY INC,Odyssey Academy - Galveston
95905002,HOUSTON SCHOOL,Ash High School
101813106,KIPP DREAM,Kipp Dream Prep
101859101,STEPPING STONES CHARTER EL,Step Charter Elementary School
101864041,WALIPP-TSU PREPARATORY ACADEMY,The Lawson Academy
101902012,DAVIS H S,Davis High School Aldine
101912179,HOUSTON GARDENS EL,Mcgowen Elementary School
101912473,HILIARD EL,Hilliard Elementary School
107901103,ATHENS INT,Central Athens
108808101,VANGUARD ACADEMY,Vanguard Rembrandt
108808103,VANGUARD ACADEMY EL II,Vanguard Picasso
108808104,VANGUARD ACADEMY EL III,Vanguard Mozart
108904045,MEMORIAL MIDDLE SCHOOL,Memorial Middle
108907041,MERCEDES J H,Sgt Manuel Chacon Middle School
108907108,JOHN F KENNEDY,Sgt William G Harrell Middle School
108907109,NORTH EL,John F Kennedy Elementary School
114904101,FORSAN EL AT ELBOW,Forsan Elementary School
117907101,SPRING CREEK ELEM/JH,Spring Creek School
124901001,HEBBRONVILLE H S,Hebbronville Early College High School
126906001,KEENE WANDA R SMITH H S,Keene High School
128902003,KARNES COUNTY ELITE,Kenedy JJAEP
129901002,CRANDALL ALTER CTR,Crandall Compass Academy
152901193,ROY W ROBERTS EL,Roberts Elementary School
153903001,O'DONNELL H S,O'Donnell School
161807004,HARMONY SCHOOL OF INNOVATION - DAL,Harmony School Of Innovation - Carrolton
167902003,MULLIN ACCELERATED PROGRAM SAN SAB,Pecan Ridge High School
174904005,MARTIN EDUCATIONAL CENTER FOR ACHI,Malcolm Rector Technical High School
174904102,EMELINE CARPENTER ACADEMY OF TECHN,Emeline Carpenter Intermediate
194904002,CLARKSVILLE H S,Clarksville Middle And High School
199902003,HH BROWNING ALTERNATIVE LEARNING C,Hh Browning Academy
220901137,COREY EL,Corey Fine Arts / Dual Language Academy
220902111,ACADEMY AT WEST BIRDVILLE,West Birdville Elementary School
220905059,DUNBAR MIDDLE,J Martin Jacquet Middle School
220905071,BENBROOK MIDDLE,Benbrook Middle/High School
220907128,KELLER EARLY LEARNING CENTER,Keller Early Learning Center - North
220908006,ALTER ED CTR,The Phoenix Academy
220916005,KEYS CTR,Keys High School
221801022,TEXAS VIRTUAL ACADEMY,Responsive Education Virtual Learning
221801041,ISCHOOL HIGH OF FLOWER MOUND,iSchool High Of Hickory Creek
221801049,VISTA ACADEMY OF NORTH GARLAND,Founders Classical Academy Of Dallas
227901025,PREMIER H S AT TRAVIS,Graduation Prep Academy Travis
227901026,PREMIER H S AT LANIER,Graduation Prep Academy Lanier
227901064,SCHOOL FOR YOUNG MEN,Garcia Young Men's Leadership Academy
227901131,READ PRE-K DEMONSTRATION SCH,Read Pre-K Center
231902001,RANKIN SCHOOL,Rankin High School
243905125,WASHINGTON-JACKSON EL MAGNET,Washington-Jackson Academy
254901101,DR TOMAS RIVERA-ZAVALA EL,Dr Tomas Rivera Elementary School
