Campus Number,Campus Name
001903002,ELKHART DAEP
007901003,DISTRICT REASSIGNMENT & OPPORTUNIT
007905004,ATASCOSA CO ALTER
011902003,BASTROP COUNTY JUVENILE BOOT CAMP
014802001,TRANSFORMATIVE CHARTER ACADEMY
014804003,WILLIAMS HOUSE
014804004,CANYON LAKES
015803101,HIGGS CARTER KING GIFTED & TALENTE
015806001,RICK HAWKINS H S
015806105,DR DAVID M COPELAND EL
015808005,JOHN H WOOD JR CHARTER SCHOOL AT S
015815103,RADIANCE ACADEMY OF LEARNING (DAYS
015819002,WASHINGTON TYRANNUS SCHOOL OF THE
015819106,VILLAGE AT SOUTH PARK
015823001,SAN ANTONIO TECHNOLOGY ACADEMY
015832001,CITY CENTER HEALTH CAREERS
015907111,BREWER EL
015907156,NELSON EL
015907167,STEELE EL
015907173,W W WHITE EL
015908040,IMMIGRANT SHELTER
015908114,HERNANDEZ LEARNING CENTER
015911004,BEXAR CO J J A E P
015916030,JUDSON EVENING H S
019901002,NEW BOSTON DAEP
019907005,TEXARKANA ISD VIRTUAL ACADEMY
019909002,NEW BOSTON DAEP
020905005,LIGHTHOUSE LEARNING CENTER - JJAEP
021805104,ARROW ACADEMY - LAS AMERICAS LEARN
021805106,ARROW ACADEMY - MCCORMACK HONORS A
031905003,CAMERON COUNTY JJAEP
031914003,SANTA ROSA JJAEP
035902101,HART EL
036901004,ADAPTIVE BEHAVIOR UNIT
036903003,HARDIN/CHAMBERS CTR
041902102,VERIBEST SPECIAL PROGRAMS
043902003,SPECIAL PROGRAM CENTER
043908103,COLLIN CO J J A E P
043914002,COLLIN CO J J A E P
043918002,COLLIN CO J J A E P
047901042,COMANCHE MIDDLE
048901005,FAIRVIEW DAEP
048903002,FAIRVIEW ACCELERATED EDUCATIONAL C
055901102,EAGLE EL
057815001,FAITH FAMILY ACADEMY OF OAK CLIFF
057815041,FAITH FAMILY ACADEMY OF OAK CLIFF
057815101,FAITH FAMILY ACADEMY OF OAK CLIFF
057838001,UPLIFT EDUCATION-PEAK PREP PRI
057838002,UPLIFT EDUCATION-PEAK PREP MIDDLE
057838006,UPLIFT EDUCATION-PEAK PREP H S
057838007,UPLIFT EDUCATION - LUNA PREPARATOR
057838009,UPLIFT EDUCATION - PINNACLE PREP P
057838010,UPLIFT EDUCATION - UPLIFT LUNA SEC
057842001,UPLIFT EDUCATION-WILLIAMS PREP H S
057842002,HEIGHTS PREPARATORY
057842041,UPLIFT EDUCATION-WILLIAMS PREP MID
057842101,UPLIFT EDUCATION-WILLIAMS PREP PRI
057842102,UPLIFT EDUCATION - HEIGHTS PREP MI
057842103,UPLIFT EDUCATION - HEIGHTS PREP PR
057842104,UPLIFT EDUCATION - UPLIFT TRIUMPH
057843001,UPLIFT EDUCATION-HAMPTON PREP H S
057843041,UPLIFT EDUCATION-HAMPTON PREP MIDD
057843101,UPLIFT EDUCATION-HAMPTON PREP PRI
057904103,WEST INT
057904109,JOE WILSON INT
057906002,D H S FRESHMAN CAMPUS
057906007,DALLAS COUNTY JJAEP DESOTO CAMPUS
057906104,AMBER TERRACE EL
057910006,SOUTH GRAND PRAIRIE HIGH 9TH GRADE
057910127,WILLIAM B TRAVIS EL
057910133,DAVID CROCKETT 5TH GRADE CENTER
061802002,EDUCATION CENTER AT LITTLE ELM
061902009,LEWISVILLE H S C DOUGLAS KILLOUGH
061902014,LEWISVILLE H S BEN HARMON CAMPUS
061903002,DENTON CO J J A E P
061907002,DENTON CO J J A E P
061911005,DENTON CO J J A E P
061911008,TARRANT COUNTY JJAEP
064903101,BIG WELLS EL
070911104,RED OAK INT
070911106,ISCHOLARS MAGNET ACADEMY
071902024,HOSPITAL CLASS
071902057,DR LORENZO G LAFARELLE JJAEP
071902144,VILAS EL
071905016,CESAR CHAVEZ ACADEMY JJAEP
071909010,EL DORADO 9TH GRADE ACADEMY
073903045,MARLIN MIDDLE
073903102,MARLIN EL
075902101,HERMES EL
076904041,ROTAN J H
084801101,MAINLAND PREPARATORY ACADEMY
084901010,GALVESTON CO J J A E P
084909003,COASTAL ALTERNATIVE PROGRAM
084910006,HARRIS CO JJAEP
089903003,WILSON CO J J A E P
091902101,COLLINSVILLE INT
091902102,COLLINSVILLE PRI
091913105,POTTSBORO INT
093904041,NAVASOTA INT
094901102,JOE F SAEGERT SIXTH GRADE CENTER
095903002,HALE CO J J A E P
100905004,HARDIN CO J J A E P
101801102,MEDICAL CENTER CHARTER SCHOOL/SOUT
101805001,GIRLS & BOYS PREP ACADEMY H S
101805041,GIRLS & BOYS PREP ACADEMY MIDDLE
101805101,GIRLS & BOYS PREP ACADEMY EL
101809001,ED WHITE MEMORIAL H S
101809041,BAY AREA CHARTER MIDDLE
101809101,BAY AREA CHARTER EL
101813108,KIPP NORTH FOREST LOWER SCHOOL
101813110,KIPP NORTH FOREST LOWER GIRLS SCHO
101833103,LA AMISTAD LOVE & LEARNING ACADEMY
101848101,NORTHWEST PREPARATORY
101848102,NORTHWEST PREPARATORY CAMPUS (WILE
101902090,COMPASS
101905007,JJAEP DISCIPLINARY SCHOOL
101906002,HC JJAEP - EXCEL ACADEMY
101912329,HOPE ACADEMY CHARTER SCHOOL
101912380,R D S P D
101919013,HIGHPOINT NORTH
101920010,HARRIS CO J J A E P
102901002,KARNACK H S
107906002,GATEWAY
108801001,IGNITE PUBLIC SCH AND COMM SERV CT
108801002,IGNITE PUBLIC SCH AND COMM SERV CT
108801003,IGNITE PUBLIC SCH AND COMM SERV CT
108801004,IGNITE PUBLIC SCH AND COMM SERV CT
108801005,IGNITE PUBLIC SCH AND COMM SER CTR
108801006,IGNITE PUB SCH AND COM SERV CTR AT
108902008,EXCEL ACADEMY CAMPUS
108908003,MISSION OPTIONS ACADEMY
108912006,J J A E P
108913002,GUIDANCE CENTER
108916003,VALLEY VIEW J J A E P
110901003,DAEP
110902003,CACTUS ACADEMIC CENTER
116801001,THE PHOENIX CHARTER SCHOOL
123905003,JEFFERSON CO YOUTH ACAD
126904003,GRANDVIEW ISD JJAEP
126911003,GODLEY JJAEP
128904002,FLORESVILLE ALTER CTR
146902003,HARDIN/CHAMBERS CTR
146902042,NOTTINGHAM MIDDLE
146904003,HARDIN/CHAMBERS CTR
146905003,HARDIN/CHAMBERS CTR
146906003,HARDIN/CHAMBERS CTR
147902002,ALTER LEARNING CTR
152903004,LUBBOCK CO J J A E P
153903101,O'DONNELL EL
161901004,CHALLENGE ACADEMY
161908003,MART ACADEMIC ALERNATIVE PROGRAM
161908004,CHALLENGE ACADEMY
161918003,AXTELL BRUCEVILLE-EDDY LEARNING CE
170906010,PROJECT RESTORE
170906051,MAGNOLIA SIXTH GRADE CAMPUS
170906052,BEAR BRANCH SIXTH GRADE CAMPUS
170908103,NEW CANEY SP ED
170908104,A M AIKIN EL
178903003,NUECES CO J J A E P
194904042,CLARKSVILLE MIDDLE
200902002,FAIRVIEW ACCELERATED
201904103,TROUP ALTERNATIVE
212905047,STEWART MIDDLE
214901004,PREPARATORY FOR EARLY COLLEGE H S
216901002,FAIRVIEW ACCELERATED
220816001,SUMMIT INTERNATIONAL PREPARATORY
220816002,UPLIFT MIGHTY PREP
220816041,MIDDLE CAMPUS
220816101,PRI CAMPUS
220816102,UPLIFT EDUCATION - UPLIFT MERIDIAN
220818001,PRIME PREP ACADEMY
220818002,DALLAS PRIME PREP
220901046,HUTCHESON J H
220901056,FERGUSON J H
221901138,WOODSON EARLY HEADSTART
226901006,FAIRVIEW VT
226901195,FAIRVIEW SPECIAL PROGRAMS
227904008,TRAVIS CO J J A E P
237902102,HEMPSTEAD EARLY CHILDHOOD
240904002,WEBB D A E P
243801001,BRIGHT IDEAS CHARTER
243906002,WICHITA COUNTY J J A E P
246902002,WILLIAMSON COUNTY JJAEP
246906003,LOTT DETENTION CENTER
247903004,FLORESVILLE CHOICE PROGRAM
247904002,FLORESVILLE ED ALTER CTR
247904004,POTH CHOICE PROGRAM
247906002,ALTERNATIVE SCHOOL
247906003,WILSON CO JJAEP
247906004,FLORESVILLE CHOICES PROG
