Campus Number,Campus Name
1906040,Neches DAEP
3906004,Stubblefield Lrn Ctr
14901102,Academy Elementary School
14903006,Bell County JJAEP
14906013,Killeen Isd Early College High School
15808011,Williams House
15808012,Legacy Ranch
15825001,Lighthouse Charter School - B Campus
15826043,Kipp Poder Academy
15828006,Harmony School Of Excellence - San Antonio
15835003,Great Hearts Northern Oaks
15835004,Great Hearts Irving
15837001,Carpe Diem Schools
15907177,Young Men's Leadership Academy
15909007,Somerset Academic Achievement Center
15915227,Boldt Elementary School
19906002,New Boston DAEP
20901047,Manvel Junior High School
21901111,Spring Creek Elementary School
31901006,Brownsville Learning Academy
31901127,Lincoln Park School
31913006,Santa Maria JJAEP
31916042,Rising Scholars Academy Of South Texas
36902006,Highpoint
43904002,Collin County J J A E P
43905010,Reedy High School
43905055,Trent Middle School
43905056,Pearson Middle School
43905140,Norris Elementary School
43911002,Collin County JJAEP
43911105,Leta Horn Smith
43912105,Light Farms Elementary School
45903004,Rice Challenge Academy
47901103,Comanche Early Childhood Center
48901003,Fairview Accelerated
48903191,Veribest PPCD
57803004,Uplift Williams Preparatory High School
57803005,Uplift Luna Preparatory Secondary
57803006,Uplift Heights Preparatory High School
57803007,Uplift Hampton Preparatory High School
57803008,Uplift Mighty School
57803009,Uplift Summit International High School
57803010,Uplift Peak Preparatory High School
57803044,Uplift Hampton Preparatory Middle School
57803045,Uplift Williams Preparatory Middle School
57803046,Uplift Heights Preparatory Middle School
57803047,Uplift Summit International Middle School
57803048,Uplift Peak Preparatory Middle School
57803103,Uplift Gradus Preparatory
57803104,Uplift Heights Preparatory Primary
57803105,Uplift Pinnacle Preparatory Primary
57803106,Uplift Triumph Preparatory School
57803107,Uplift Luna Preparatory Primary
57803108,Uplift Meridian School
57803109,Uplift Summit International Primary
57803110,Uplift Peak Preparatory Primary
57803111,Uplift Hampton Preparatory Primary
57803112,Uplift Williams Preparatory Primary
57803113,Uplift Peak Pre-K
57807002,Life High School Waxahachie
57807041,Life Middle Waxahachie
57837102,Kipp Truth Elementary
57848009,International Leadership Of Texas
57849001,Trinity Environmental Academy
57904043,Cedar Hill Collegiate Academy
57904110,Cedar Hill Collegiate Prep
57905102,Prek Partnership Center
57905285,N W Harllee Early Childhood Center
57905355,Alex Sanger Preparatory Middle
57905360,D A Hulcy Steam Middle School
57905382,Innovation Design Entrepreneurship
57906003,Wings (Where I Now Gain Success)
57906008,Desoto Alternative Education Center
57906110,Amber Terrace Discovery & Design Early Childhood Education
57909044,Memorial Pathway Academy Middle School
57910136,Uplift Lee
57910137,William B Travis World Language Academy
57910138,Crockett Early Education School
57914133,Dr Linda Henrie Elementary School
61911011,V R Eaton High School
61912002,Denton County JJAEP
68901014,Odessa Career And Technical Early Education
68901015,Ecisd Falcon Early College High School
68901131,Edward K Downing Elementary School
68901132,G E 'Buddy' West Elementary School
68901133,Lee Buice Elementary School
70801002,Oak Cliff Faith Family Academy
70908003,Midlothian Heritage High School
70911107,Russell P Schupmann Elementary School
71907106,Congressman Silvestre & Carolina Reyes School
71909011,Pebble Hills High School
71909131,Purple Heart Elementary School
72801143,Premier High School Of East El Paso
72801144,Premier High School Of Pflugerville
72801145,Texas Virtual Academy
72801146,Premier High Schools Career & Tech
73903041,Marlin Junior Academy
73903103,Marlin Primary Academy
79901139,John Arredondo Elementary School
79906008,Fort Bend County Alter
79907151,Carolyn And Vernon Madden Elementary School
84802002,Odyssey Academy - Bay Area
84906010,Texas City JJAEP
89901104,Gonzales Primary Academy
91902200,Collinsville Elementary School
93904107,Brule Elementary School
94902115,Cibolo Valley Elementary School
95904003,Petersburg DAEP
100904002,Hardin Co Alter Ed
101804004,George I Sanchez North
101811008,Excel Academy
101813049,Kipp Academy West Middle School
101813115,Kipp Unity Primary
101845011,Yes Prep - Southside
101856103,Draw Academy Upper Elementary
101858007,Harmony School Of Achievement - Houston
101861103,The Rhodes School - Southeast
101870001,Beta Academy
101902136,Cypresswood Elementary School
101907157,Woodard Elementary School
101912478,Arabic Immersion Magnet School
101913198,JJAEP Campus
101914034,Fort Bend Co Alter
101915131,French Elementary School
101917039,Community School
101917145,Marshall Kendrick Middle School
101917147,Fred Roberts Middle School
101919009,School For Accelerated Lrn
101919022,Richey Academy
101919129,Clark Primary
101920018,The School For Highly Gifted Students
101921114,Wildwood Elementary School
101921115,Creekview Elementary School
101921116,Oakcrest Intermediate
105803001,Ki Charter Academy
105902109,Bonham Pre-K School
108807014,Idea Riverview College Preparatory
108807015,Idea North Mission College Preparatory
108807024,Idea Eastside College Preparatory
108807036,Idea Rundberg College Preparatory
108807114,Idea Riverview Academy
108807115,Idea North Mission Academy
108807124,Idea Eastside Academy
108807136,Idea Rundberg Academy
108910105,East Elementary School
108913118,21St Century Early Learning Foundations Academy
109905010,Hill County JJAEP
109913041,Blum Middle School
123908111,West Groves Early Learning Center
123914002,Jefferson County JJAEP
126902043,Steam Middle School
126905042,Johnson County JJAEP
128902002,Karnes County Academy
128902004,Kenedy DAEP
128903003,Floresville Alternative Center Cho
140901002,P E P
143901002,G O A L S Program
161807013,Harmony Science Academy - Carrollt
161912005,Marlin Alternative Education Program
161921106,Connally Early Childhood Center
163901004,Devine DAEP School
165901020,Barbara Culver Juvenile Detention
165901132,Barbara Yarbrough Elementary School
165901133,Barbara Fasken Elementary School
165901134,Ralph Bunche Elementary School
167902005,Cedar Mountain High School
167902055,Parkview School - Lubbock
167902056,Parkview School - Levelland
167902057,Hope Academy - Lubbock
170908114,Tavola Elementary School
174904111,Emeline Carpenter Elementary  School
175905002,Navarro County AEP/ABC
178903005,Calallen Charter High School
178904015,Veterans Memorial High School
178904057,Adkins Middle School
187907004,Livingston High School Academy
188901052,Bowie 6th Grade Campus
188901053,Travis 6th Grade Campus
201914004,Elder Coop Alternative School
212801001,Cumberland High School
212905049,Three Lakes Middle School
220817002,Newman International At Cedar Hill
220819001,High Point Academy
220901162,Patrick Elementary School
220901163,Jones Fine Arts / Dual Language Academy
220905086,Tarrant County College South/Fort Worth
220908125,Judy Miller Elementary School
221801061,Founders Classical Academy Of Mesqite
221801062,Mainland Preparatory Academy
221801063,Founders Classical Academy Of Flower Mound
221801064,Corinth Classical Academy
226801004,Texas Leadership Of Abilene
226901102,Veribest PPCD
227803103,Altamira Academy
227806036,Rock Springs
227806037,Shriners Hospitals For Children
227806039,Lifehouse
227806040,Austin Oaks
227806041,Unlimited Visions Aftercare
227806042,Houston Behavioral Healthcare
227806043,University High School
227828001,The Excel Center
227901194,Austin ISD Child Development Center
227907109,Shadowglen Elementary School
