District Number,District Name
014802,TRANSFORMATIVE CHARTER ACADEMY
015803,HIGGS CARTER KING GIFTED & TALENTE
015823,SAN ANTONIO TECHNOLOGY ACADEMY
015832,CITY CENTER HEALTH CAREERS
057815,FAITH FAMILY ACADEMY OF OAK CLIFF
057838,UPLIFT EDUCATION - PEAK PREPARATOR
057842,UPLIFT EDUCATION - WILLIAMS PREPAR
057843,UPLIFT EDUCATION - HAMPTON PREPARA
084801,MAINLAND PREPARATORY ACADEMY
101801,MEDICAL CENTER CHARTER SCHOOL
101805,GIRLS & BOYS PREPARATORY ACADEMY
101809,BAY AREA CHARTER INC
101848,NORTHWEST PREPARATORY
108801,IGNITE PUBLIC SCHOOLS AND COMMUNIT
116801,PHOENIX CHARTER SCHOOL
220816,UPLIFT EDUCATION-SUMMIT INTERNATIO
220818,PRIME PREP ACADEMY
243801,BRIGHT IDEAS CHARTER
