CAMPUS,CAMPNAME,DISTRICT,DISTNAME,REGION,REGNNAME,COUNTY,CNTYNAME,GRDTYPE,GRDSPAN,PAIRCAMP,PAIRNAME,CFLALTED,CFLCHART
"'001902001","CAYUGA H S","'001902","CAYUGA ISD","'07","REGION 07: KILGORE","'001","ANDERSON","S","'09 - 12"," "," ","N","N"
"'001902041","CAYUGA MIDDLE","'001902","CAYUGA ISD","'07","REGION 07: KILGORE","'001","ANDERSON","M","'06 - 08"," "," ","N","N"
"'001902103","CAYUGA EL","'001902","CAYUGA ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'PK - 05"," "," ","N","N"
"'001903001","ELKHART H S","'001903","ELKHART ISD","'07","REGION 07: KILGORE","'001","ANDERSON","S","'09 - 12"," "," ","N","N"
"'001903041","ELKHART MIDDLE","'001903","ELKHART ISD","'07","REGION 07: KILGORE","'001","ANDERSON","M","'06 - 08"," "," ","N","N"
"'001903101","ELKHART EL","'001903","ELKHART ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'EE - 02","'001903102","ELKHART INT","N","N"
"'001903102","ELKHART INT","'001903","ELKHART ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'03 - 05"," "," ","N","N"
"'001904001","FRANKSTON H S","'001904","FRANKSTON ISD","'07","REGION 07: KILGORE","'001","ANDERSON","S","'09 - 12"," "," ","N","N"
"'001904041","FRANKSTON MIDDLE","'001904","FRANKSTON ISD","'07","REGION 07: KILGORE","'001","ANDERSON","M","'06 - 08"," "," ","N","N"
"'001904102","FRANKSTON EL","'001904","FRANKSTON ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'EE - 05"," "," ","N","N"
"'001906002","NECHES H S","'001906","NECHES ISD","'07","REGION 07: KILGORE","'001","ANDERSON","S","'07 - 12"," "," ","N","N"
"'001906102","NECHES EL","'001906","NECHES ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'PK - 06"," "," ","N","N"
"'001907001","PALESTINE H S","'001907","PALESTINE ISD","'07","REGION 07: KILGORE","'001","ANDERSON","S","'09 - 12"," "," ","N","N"
"'001907041","PALESTINE J H","'001907","PALESTINE ISD","'07","REGION 07: KILGORE","'001","ANDERSON","M","'07 - 08"," "," ","N","N"
"'001907101","NORTHSIDE PRI","'001907","PALESTINE ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'KG - 01","'001907107","SOUTHSIDE EL","N","N"
"'001907102","WASHINGTON EARLY CHILDHOOD CENTER","'001907","PALESTINE ISD","'07","REGION 07: KILGORE","'001","ANDERSON","E","'EE - PK","'001907107","SOUTHSIDE EL","N","N"
