Campus Number,TEA Campus Name,Campus Name
1909101,SLOCUM PK - 8,Slocum PK - 8
14803002,GEORGETOWN CHARTER ACADEMY,Georgetown Charter Academy
14803004,CEDAR PARK CHARTER ACADEMY,Cedar Park Charter Academy
14804005,GATEWAY TECH H S,Gateway Tech High School
14901101,ACADEMY INT,Academy Intermediate
15806106,DR DAVID C WALKER EL,Dr David C Walker Elementary
15822002,PREMIER LEADERSHIP ACADEMY,Premier Leadership Academy
15834001,BASIS SAN ANTONIO MEDICAL CENTER,Basis San Antonio Medical Center
15834002,BASIS SAN ANTONIO NORTH CENTRAL,Basis San Antonio North Central
15904105,STONEWALL/FLANDERS EL,Stonewall Flanders Elementary
15907175,WOODLAWN ACADEMY,Woodlawn Academy
15915011,CHAVEZ EXCEL ACADEMY,Chavez Excel Academy
31901001,HANNA EARLY COLLEGE H S,Hanna Early College High School
31901002,PORTER EARLY COLLEGE H S,Porter Early College High School
31901003,PACE EARLY COLLEGE H S,Pace Early College High School
31901004,RIVERA EARLY COLLEGE H S,Rivera Early College High School
31901007,LOPEZ EARLY COLLEGE H S,Lopez Early College High School
31901009,VETERANS MEMORIAL EARLY COLLEGE H,Veterans Memorial Early College High School
35902001,HART ISD,Hart ISD
55901001,VAN HORN SCHOOL,Van Horn School
57808102,UNIVERSAL ACADEMY - COPPELL,Universal Academy - Coppell
57828006,WINFREE ACADEMY CHARTER SCHOOL DAL,Winfree Academy Charter School Dallas
57906001,DESOTO H S & ISTEAM3D,Desoto High School & iSTEAM3D
57906041,DESOTO EAST MIDDLE (ISTEAM),Desoto East Middle (iSTEAM)
57906042,DESOTO WEST MIDDLE (ISTEAM),Desoto West Middle (iSTEAM)
57906043,CURTISTENE S MCCOWAN MIDDLE (ISTEA,Curtistene S Mccowan Middle (iSTEAM)
57910053,YWLA AT BILL ARNOLD,Young Women's Leadership Academy at Bill Arnold
57910134,BONHAM EES,Bonham Early Education School
57910135,SCHOOL FOR THE HIGHLY GIFTED,School For The Highly Gifted
61802003,NORTH TEXAS COLLEGIATE ACADEMY-SOU,North Texas Collegiate Academy-South
61802004,NORTH TEXAS COLLEGIATE ACADEMY-NOR,North Texas Collegiate Academy-North
61802005,NORTH TEXAS COLLEGIATE ACADEMY-EAS,North Texas Collegiate Academy-East
68901011,GEORGE H W BUSH NEW TECH ODESSA,George H W Bush New Tech Odessa
68901042,BONHAM MIDDLE,Bonham Middle
68901043,BOWIE MIDDLE,Bowie Middle
68901044,CROCKETT MIDDLE,Crockett Middle
