DISTRICT,CNTYNAME,COUNTY,DAD_POST,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"001902","ANDERSON","001","0","N","N","CAYUGA ISD","M","Meets Requirements","07"
"001903","ANDERSON","001","0","N","N","ELKHART ISD","M","Meets Requirements","07"
"001904","ANDERSON","001","0","N","N","FRANKSTON ISD","M","Needs Assistance","07"
"001906","ANDERSON","001","0","N","N","NECHES ISD","M","Meets Requirements","07"
"001907","ANDERSON","001","0","N","N","PALESTINE ISD","M","Needs Assistance","07"
"001908","ANDERSON","001","0","N","N","WESTWOOD ISD","M","Needs Assistance","07"
"001909","ANDERSON","001","0","N","N","SLOCUM ISD","M","Meets Requirements","07"
"002901","ANDREWS","002","0","N","N","ANDREWS ISD","M","Needs Substantial Intervention","18"
"003801","ANGELINA","003","0","N","Y","PINEYWOODS COMMUNITY ACADEMY","M","Meets Requirements","07"
"003902","ANGELINA","003","0","N","N","HUDSON ISD","M","Needs Assistance","07"
"003903","ANGELINA","003","0","N","N","LUFKIN ISD","M","Needs Assistance","07"
"003904","ANGELINA","003","0","N","N","HUNTINGTON ISD","M","Meets Requirements","07"
"003905","ANGELINA","003","0","N","N","DIBOLL ISD","M","Needs Assistance","07"
"003906","ANGELINA","003","0","N","N","ZAVALLA ISD","M","Meets Requirements","07"
"003907","ANGELINA","003","0","N","N","CENTRAL ISD","M","Meets Requirements","07"
"004901","ARANSAS","004","0","N","N","ARANSAS COUNTY ISD","M","Needs Assistance","02"
"005901","ARCHER","005","0","N","N","ARCHER CITY ISD","M","Meets Requirements","09"
"005902","ARCHER","005","0","N","N","HOLLIDAY ISD","M","Meets Requirements","09"
"005904","ARCHER","005","0","N","N","WINDTHORST ISD","M","Meets Requirements","09"
"006902","ARMSTRONG","006","0","N","N","CLAUDE ISD","M","Meets Requirements","16"
"007901","ATASCOSA","007","0","N","N","CHARLOTTE ISD","M","Meets Requirements","20"
